epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-51,1649212911,2.929180383682251,2.929180383682251,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.929180383682251,0,1,190acb64
1,53.10199789695058,False,,,2,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-52,1649212912,0.48245859146118164,3.4116389751434326,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4116389751434326,0,2,190acb64
2,53.10199789695058,False,,,3,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-52,1649212912,0.4733309745788574,3.88496994972229,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.88496994972229,0,3,190acb64
3,53.10199789695058,False,,,4,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-53,1649212913,0.4675881862640381,4.352558135986328,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.352558135986328,0,4,190acb64
4,53.10199789695058,False,,,5,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-53,1649212913,0.4906129837036133,4.843171119689941,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.843171119689941,0,5,190acb64
5,53.10199789695058,False,,,6,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-54,1649212914,0.48641347885131836,5.32958459854126,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.32958459854126,0,6,190acb64
6,53.10199789695058,False,,,7,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-54,1649212914,0.47601819038391113,5.805602788925171,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.805602788925171,0,7,190acb64
7,53.10199789695058,False,,,8,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-55,1649212915,0.49755144119262695,6.303154230117798,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.303154230117798,0,8,190acb64
8,53.10199789695058,False,,,9,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-55,1649212915,0.49357151985168457,6.796725749969482,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.796725749969482,0,9,190acb64
9,53.10199789695058,False,,,10,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-56,1649212916,0.4778742790222168,7.274600028991699,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.274600028991699,0,10,190acb64
10,53.10199789695058,False,,,11,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-56,1649212916,0.47713518142700195,7.751735210418701,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.751735210418701,0,11,190acb64
11,53.10199789695058,False,,,12,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-57,1649212917,0.4820988178253174,8.233834028244019,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.233834028244019,0,12,190acb64
12,53.10199789695058,False,,,13,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-57,1649212917,0.4862098693847656,8.720043897628784,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.720043897628784,0,13,190acb64
13,53.10199789695058,False,,,14,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-58,1649212918,0.48357295989990234,9.203616857528687,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.203616857528687,0,14,190acb64
14,53.10199789695058,False,,,15,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-58,1649212918,0.47118377685546875,9.674800634384155,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.674800634384155,0,15,190acb64
15,53.10199789695058,False,,,16,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-59,1649212919,0.47283053398132324,10.147631168365479,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.147631168365479,0,16,190acb64
16,53.10199789695058,False,,,17,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-41-59,1649212919,0.4799928665161133,10.627624034881592,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.627624034881592,0,17,190acb64
17,53.10199789695058,False,,,18,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-00,1649212920,0.4754304885864258,11.103054523468018,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.103054523468018,0,18,190acb64
18,53.25972660357519,False,,,19,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-00,1649212920,0.48155784606933594,11.584612369537354,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.584612369537354,0,19,190acb64
19,61.30389064143007,False,,,20,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-01,1649212921,0.46977663040161133,12.054388999938965,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.054388999938965,0,20,190acb64
20,62.0925341745531,False,,,21,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-01,1649212921,0.47571468353271484,12.53010368347168,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.53010368347168,0,21,190acb64
21,62.77602523659306,False,,,22,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-01,1649212921,0.48066139221191406,13.010765075683594,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.010765075683594,0,22,190acb64
22,62.03995793901157,False,,,23,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-02,1649212922,0.4828059673309326,13.493571043014526,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.493571043014526,0,23,190acb64
23,62.197686645636175,False,,,24,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-02,1649212922,0.49311327934265137,13.986684322357178,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.986684322357178,0,24,190acb64
24,64.03785488958991,False,,,25,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-03,1649212923,0.4904325008392334,14.477116823196411,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.477116823196411,0,25,190acb64
25,65.29968454258676,False,,,26,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-03,1649212923,0.49944186210632324,14.976558685302734,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.976558685302734,0,26,190acb64
26,66.82439537329127,False,,,27,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-04,1649212924,0.4847526550292969,15.461311340332031,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.461311340332031,0,27,190acb64
27,72.08201892744479,False,,,28,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-04,1649212924,0.5132417678833008,15.974553108215332,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.974553108215332,0,28,190acb64
28,74.50052576235542,False,,,29,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-05,1649212925,0.5012524127960205,16.475805521011353,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.475805521011353,0,29,190acb64
29,77.44479495268138,False,,,30,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-05,1649212925,0.4884033203125,16.964208841323853,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.964208841323853,0,30,190acb64
30,78.75920084121977,False,,,31,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-06,1649212926,0.4862518310546875,17.45046067237854,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.45046067237854,0,31,190acb64
31,79.07465825446897,False,,,32,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-06,1649212926,0.4720907211303711,17.92255139350891,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.92255139350891,0,32,190acb64
32,79.17981072555204,False,,,33,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-07,1649212927,0.47250938415527344,18.395060777664185,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.395060777664185,0,33,190acb64
33,79.28496319663512,False,,,34,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-07,1649212927,0.4750063419342041,18.87006711959839,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.87006711959839,0,34,190acb64
34,79.12723449001051,False,,,35,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-08,1649212928,0.4788694381713867,19.348936557769775,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.348936557769775,0,35,190acb64
35,78.75920084121977,False,,,36,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-08,1649212928,0.4846987724304199,19.833635330200195,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.833635330200195,0,36,190acb64
36,78.39116719242902,False,,,37,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-09,1649212929,0.4771006107330322,20.310735940933228,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.310735940933228,0,37,190acb64
37,78.39116719242902,False,,,38,b32a6239c7f6445694aba6ae5e2d1661,2022-04-06_02-42-09,1649212929,0.4812197685241699,20.791955709457397,73084,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.791955709457397,0,38,190acb64
