epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-16,1649212936,2.8757572174072266,2.8757572174072266,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.8757572174072266,0,1,27b1575a
1,53.10199789695058,False,,,2,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-17,1649212937,0.4743645191192627,3.3501217365264893,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.3501217365264893,0,2,27b1575a
2,53.20715036803365,False,,,3,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-17,1649212937,0.48543787002563477,3.835559606552124,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.835559606552124,0,3,27b1575a
3,53.10199789695058,False,,,4,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-18,1649212938,0.4823739528656006,4.317933559417725,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.317933559417725,0,4,27b1575a
4,53.10199789695058,False,,,5,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-18,1649212938,0.47122693061828613,4.789160490036011,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.789160490036011,0,5,27b1575a
5,53.20715036803365,False,,,6,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-19,1649212939,0.4821028709411621,5.271263360977173,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.271263360977173,0,6,27b1575a
6,53.10199789695058,False,,,7,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-19,1649212939,0.47992849349975586,5.751191854476929,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.751191854476929,0,7,27b1575a
7,53.10199789695058,False,,,8,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-20,1649212940,0.4699900150299072,6.221181869506836,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.221181869506836,0,8,27b1575a
8,53.10199789695058,False,,,9,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-20,1649212940,0.46889328956604004,6.690075159072876,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.690075159072876,0,9,27b1575a
9,53.10199789695058,False,,,10,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-21,1649212941,0.47674107551574707,7.166816234588623,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.166816234588623,0,10,27b1575a
10,53.10199789695058,False,,,11,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-21,1649212941,0.4802711009979248,7.647087335586548,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.647087335586548,0,11,27b1575a
11,53.10199789695058,False,,,12,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-22,1649212942,0.4926419258117676,8.139729261398315,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.139729261398315,0,12,27b1575a
12,61.251314405888536,False,,,13,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-22,1649212942,0.47686290740966797,8.616592168807983,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.616592168807983,0,13,27b1575a
13,59.67402733964248,False,,,14,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-23,1649212943,0.482816219329834,9.099408388137817,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.099408388137817,0,14,27b1575a
14,59.095688748685596,False,,,15,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-23,1649212943,0.47327160835266113,9.572679996490479,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.572679996490479,0,15,27b1575a
15,61.61934805467929,False,,,16,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-24,1649212944,0.489335298538208,10.062015295028687,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.062015295028687,0,16,27b1575a
16,58.569926393270244,False,,,17,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-24,1649212944,0.47922205924987793,10.541237354278564,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.541237354278564,0,17,27b1575a
17,62.14511041009464,False,,,18,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-25,1649212945,0.47916698455810547,11.02040433883667,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.02040433883667,0,18,27b1575a
18,59.93690851735016,False,,,19,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-25,1649212945,0.4789748191833496,11.49937915802002,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.49937915802002,0,19,27b1575a
19,59.20084121976866,False,,,20,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-25,1649212945,0.4791543483734131,11.978533506393433,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.978533506393433,0,20,27b1575a
20,61.40904311251314,False,,,21,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-26,1649212946,0.4787144660949707,12.457247972488403,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.457247972488403,0,21,27b1575a
21,56.67718191377497,False,,,22,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-26,1649212946,0.4956209659576416,12.952868938446045,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.952868938446045,0,22,27b1575a
22,59.831756046267095,False,,,23,239c774d8d754f80a390646ae04181c5,2022-04-06_02-42-27,1649212947,0.4782240390777588,13.431092977523804,73144,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.431092977523804,0,23,27b1575a
