epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-03,1649213403,2.9219248294830322,2.9219248294830322,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9219248294830322,0,1,3da953e7
1,53.10199789695058,False,,,2,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-03,1649213403,0.4709765911102295,3.3929014205932617,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.3929014205932617,0,2,3da953e7
2,57.04521556256572,False,,,3,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-04,1649213404,0.4617602825164795,3.854661703109741,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.854661703109741,0,3,3da953e7
3,61.777076761303896,False,,,4,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-04,1649213404,0.48515915870666504,4.339820861816406,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.339820861816406,0,4,3da953e7
4,58.46477392218718,False,,,5,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-05,1649213405,0.47809457778930664,4.817915439605713,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.817915439605713,0,5,3da953e7
5,62.03995793901157,False,,,6,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-05,1649213405,0.47335362434387207,5.291269063949585,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.291269063949585,0,6,3da953e7
6,62.46056782334385,False,,,7,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-06,1649213406,0.46735572814941406,5.758624792098999,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.758624792098999,0,7,3da953e7
7,61.251314405888536,False,,,8,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-06,1649213406,0.4771857261657715,6.2358105182647705,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.2358105182647705,0,8,3da953e7
8,61.3564668769716,False,,,9,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-07,1649213407,0.4429643154144287,6.678774833679199,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.678774833679199,0,9,3da953e7
9,62.30283911671924,False,,,10,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-07,1649213407,0.44766998291015625,7.1264448165893555,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.1264448165893555,0,10,3da953e7
10,63.8801261829653,False,,,11,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-07,1649213407,0.4444458484649658,7.570890665054321,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.570890665054321,0,11,3da953e7
11,71.03049421661409,False,,,12,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-08,1649213408,0.4440734386444092,8.01496410369873,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.01496410369873,0,12,3da953e7
12,71.13564668769716,False,,,13,374e19e8c619425b953927ec5bd9cbeb,2022-04-06_02-50-08,1649213408,0.44959425926208496,8.464558362960815,73129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.464558362960815,0,13,3da953e7
