epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-14,1649213474,2.8703246116638184,2.8703246116638184,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.8703246116638184,0,1,651e9b3f
1,53.10199789695058,False,,,2,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-16,1649213476,0.46575474739074707,3.3360793590545654,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.3360793590545654,0,2,651e9b3f
2,53.10199789695058,False,,,3,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-16,1649213476,0.44715356826782227,3.7832329273223877,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.7832329273223877,0,3,651e9b3f
3,53.10199789695058,False,,,4,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-17,1649213477,0.43279170989990234,4.21602463722229,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.21602463722229,0,4,651e9b3f
4,53.10199789695058,False,,,5,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-17,1649213477,0.4337425231933594,4.649767160415649,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.649767160415649,0,5,651e9b3f
5,53.10199789695058,False,,,6,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-18,1649213478,0.42465662956237793,5.074423789978027,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.074423789978027,0,6,651e9b3f
6,53.10199789695058,False,,,7,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-18,1649213478,0.4261202812194824,5.50054407119751,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.50054407119751,0,7,651e9b3f
7,53.10199789695058,False,,,8,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-19,1649213479,0.43758106231689453,5.938125133514404,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.938125133514404,0,8,651e9b3f
8,53.10199789695058,False,,,9,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-19,1649213479,0.43992018699645996,6.378045320510864,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.378045320510864,0,9,651e9b3f
9,53.10199789695058,False,,,10,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-19,1649213479,0.43958616256713867,6.817631483078003,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.817631483078003,0,10,651e9b3f
10,53.10199789695058,False,,,11,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-20,1649213480,0.42996835708618164,7.247599840164185,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.247599840164185,0,11,651e9b3f
11,53.10199789695058,False,,,12,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-20,1649213480,0.43384623527526855,7.681446075439453,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.681446075439453,0,12,651e9b3f
12,53.10199789695058,False,,,13,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-21,1649213481,0.4263625144958496,8.107808589935303,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.107808589935303,0,13,651e9b3f
13,53.10199789695058,False,,,14,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-21,1649213481,0.4229099750518799,8.530718564987183,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.530718564987183,0,14,651e9b3f
14,53.10199789695058,False,,,15,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-22,1649213482,0.42813611030578613,8.958854675292969,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.958854675292969,0,15,651e9b3f
15,53.10199789695058,False,,,16,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-22,1649213482,0.4249231815338135,9.383777856826782,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.383777856826782,0,16,651e9b3f
16,53.10199789695058,False,,,17,a28d934b2a3e471890babe6edaa7b704,2022-04-06_02-51-22,1649213482,0.42424488067626953,9.808022737503052,73112,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.808022737503052,0,17,651e9b3f
