epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-24,1649213124,2.9957797527313232,2.9957797527313232,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9957797527313232,0,1,97ceb761
1,53.10199789695058,False,,,2,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-24,1649213124,0.4866371154785156,3.482416868209839,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.482416868209839,0,2,97ceb761
2,53.10199789695058,False,,,3,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-25,1649213125,0.4982423782348633,3.980659246444702,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.980659246444702,0,3,97ceb761
3,53.10199789695058,False,,,4,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-25,1649213125,0.47948598861694336,4.4601452350616455,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.4601452350616455,0,4,97ceb761
4,53.10199789695058,False,,,5,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-26,1649213126,0.47594523429870605,4.936090469360352,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.936090469360352,0,5,97ceb761
5,53.10199789695058,False,,,6,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-26,1649213126,0.47028541564941406,5.406375885009766,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.406375885009766,0,6,97ceb761
6,53.10199789695058,False,,,7,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-27,1649213127,0.4682271480560303,5.874603033065796,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.874603033065796,0,7,97ceb761
7,53.10199789695058,False,,,8,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-27,1649213127,0.463883638381958,6.338486671447754,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.338486671447754,0,8,97ceb761
8,53.10199789695058,False,,,9,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-28,1649213128,0.4524853229522705,6.790971994400024,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.790971994400024,0,9,97ceb761
9,53.10199789695058,False,,,10,dbd9591ce4ef470082d0beb0ac432253,2022-04-06_02-45-28,1649213128,0.4541447162628174,7.245116710662842,73127,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.245116710662842,0,10,97ceb761
