epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-17,1649212697,2.996039628982544,2.996039628982544,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.996039628982544,0,1,9983753b
1,60.77812828601472,False,,,2,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-17,1649212697,0.551964521408081,3.548004150390625,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.548004150390625,0,2,9983753b
2,53.10199789695058,False,,,3,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-18,1649212698,0.5233001708984375,4.0713043212890625,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.0713043212890625,0,3,9983753b
3,53.10199789695058,False,,,4,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-19,1649212699,0.5284597873687744,4.599764108657837,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.599764108657837,0,4,9983753b
4,53.10199789695058,False,,,5,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-19,1649212699,0.48798084259033203,5.087744951248169,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.087744951248169,0,5,9983753b
5,53.10199789695058,False,,,6,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-20,1649212700,0.5122179985046387,5.599962949752808,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.599962949752808,0,6,9983753b
6,54.62670872765511,False,,,7,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-20,1649212700,0.5210835933685303,6.121046543121338,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.121046543121338,0,7,9983753b
7,54.62670872765511,False,,,8,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-21,1649212701,0.5168032646179199,6.637849807739258,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.637849807739258,0,8,9983753b
8,56.51945320715037,False,,,9,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-21,1649212701,0.5086121559143066,7.1464619636535645,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.1464619636535645,0,9,9983753b
9,58.149316508937964,False,,,10,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-22,1649212702,0.5258040428161621,7.672266006469727,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.672266006469727,0,10,9983753b
10,60.77812828601472,False,,,11,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-22,1649212702,0.5222320556640625,8.194498062133789,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.194498062133789,0,11,9983753b
11,61.09358569926393,False,,,12,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-23,1649212703,0.5120725631713867,8.706570625305176,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.706570625305176,0,12,9983753b
12,61.198738170347,False,,,13,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-23,1649212703,0.4973454475402832,9.203916072845459,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.203916072845459,0,13,9983753b
13,61.09358569926393,False,,,14,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-24,1649212704,0.5133228302001953,9.717238903045654,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.717238903045654,0,14,9983753b
14,61.72450052576236,False,,,15,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-24,1649212704,0.48583483695983887,10.203073740005493,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.203073740005493,0,15,9983753b
15,61.82965299684543,False,,,16,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-25,1649212705,0.4849255084991455,10.687999248504639,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.687999248504639,0,16,9983753b
16,61.51419558359621,False,,,17,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-25,1649212705,0.47188496589660645,11.159884214401245,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.159884214401245,0,17,9983753b
17,61.67192429022082,False,,,18,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-26,1649212706,0.4775705337524414,11.637454748153687,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.637454748153687,0,18,9983753b
18,61.67192429022082,False,,,19,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-26,1649212706,0.47421741485595703,12.111672163009644,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.111672163009644,0,19,9983753b
19,61.777076761303896,False,,,20,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-27,1649212707,0.4630429744720459,12.57471513748169,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.57471513748169,0,20,9983753b
20,61.67192429022082,False,,,21,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-27,1649212707,0.4654533863067627,13.040168523788452,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.040168523788452,0,21,9983753b
21,61.82965299684543,False,,,22,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-27,1649212707,0.46241307258605957,13.502581596374512,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.502581596374512,0,22,9983753b
22,61.777076761303896,False,,,23,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-28,1649212708,0.48329639434814453,13.985877990722656,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.985877990722656,0,23,9983753b
23,61.67192429022082,False,,,24,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-28,1649212708,0.4680745601654053,14.453952550888062,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.453952550888062,0,24,9983753b
24,61.88222923238696,False,,,25,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-29,1649212709,0.4805309772491455,14.934483528137207,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.934483528137207,0,25,9983753b
25,61.88222923238696,False,,,26,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-29,1649212709,0.48305773735046387,15.417541265487671,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.417541265487671,0,26,9983753b
26,61.9348054679285,False,,,27,5cbf9c73d676435f8109bcaac64ea72f,2022-04-06_02-38-30,1649212710,0.5046496391296387,15.92219090461731,73159,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.92219090461731,0,27,9983753b
