epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-21,1649212701,3.244102716445923,3.244102716445923,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.244102716445923,0,1,9a14e4a2
1,53.10199789695058,False,,,2,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-21,1649212701,0.49884605407714844,3.7429487705230713,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.7429487705230713,0,2,9a14e4a2
2,53.10199789695058,False,,,3,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-22,1649212702,0.508587121963501,4.251535892486572,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.251535892486572,0,3,9a14e4a2
3,53.10199789695058,False,,,4,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-22,1649212702,0.514317512512207,4.765853404998779,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.765853404998779,0,4,9a14e4a2
4,53.10199789695058,False,,,5,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-23,1649212703,0.5343019962310791,5.300155401229858,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.300155401229858,0,5,9a14e4a2
5,53.10199789695058,False,,,6,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-23,1649212703,0.5129759311676025,5.813131332397461,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.813131332397461,0,6,9a14e4a2
6,53.10199789695058,False,,,7,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-24,1649212704,0.5243203639984131,6.337451696395874,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.337451696395874,0,7,9a14e4a2
7,53.10199789695058,False,,,8,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-24,1649212704,0.5103919506072998,6.847843647003174,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.847843647003174,0,8,9a14e4a2
8,53.10199789695058,False,,,9,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-25,1649212705,0.5097312927246094,7.357574939727783,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.357574939727783,0,9,9a14e4a2
9,53.10199789695058,False,,,10,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-25,1649212705,0.5061588287353516,7.863733768463135,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.863733768463135,0,10,9a14e4a2
10,53.10199789695058,False,,,11,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-26,1649212706,0.5066165924072266,8.370350360870361,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.370350360870361,0,11,9a14e4a2
11,53.10199789695058,False,,,12,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-26,1649212706,0.5095231533050537,8.879873514175415,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.879873514175415,0,12,9a14e4a2
12,53.10199789695058,False,,,13,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-27,1649212707,0.516852617263794,9.396726131439209,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.396726131439209,0,13,9a14e4a2
13,53.10199789695058,False,,,14,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-27,1649212707,0.5140106678009033,9.910736799240112,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.910736799240112,0,14,9a14e4a2
14,53.10199789695058,False,,,15,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-28,1649212708,0.5171151161193848,10.427851915359497,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.427851915359497,0,15,9a14e4a2
15,53.10199789695058,False,,,16,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-28,1649212708,0.5109481811523438,10.93880009651184,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.93880009651184,0,16,9a14e4a2
16,53.10199789695058,False,,,17,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-29,1649212709,0.5133616924285889,11.45216178894043,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.45216178894043,0,17,9a14e4a2
17,53.10199789695058,False,,,18,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-29,1649212709,0.5119621753692627,11.964123964309692,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.964123964309692,0,18,9a14e4a2
18,53.10199789695058,False,,,19,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-30,1649212710,0.5321829319000244,12.496306896209717,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.496306896209717,0,19,9a14e4a2
19,53.10199789695058,False,,,20,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-30,1649212710,0.5105783939361572,13.006885290145874,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.006885290145874,0,20,9a14e4a2
20,53.10199789695058,False,,,21,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-31,1649212711,0.5112323760986328,13.518117666244507,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.518117666244507,0,21,9a14e4a2
21,53.10199789695058,False,,,22,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-32,1649212712,0.5071935653686523,14.02531123161316,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.02531123161316,0,22,9a14e4a2
22,53.10199789695058,False,,,23,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-32,1649212712,0.5147829055786133,14.540094137191772,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.540094137191772,0,23,9a14e4a2
23,53.10199789695058,False,,,24,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-33,1649212713,0.5042238235473633,15.044317960739136,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.044317960739136,0,24,9a14e4a2
24,53.10199789695058,False,,,25,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-33,1649212713,0.4991888999938965,15.543506860733032,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.543506860733032,0,25,9a14e4a2
25,48.42271293375394,False,,,26,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-34,1649212714,0.5064244270324707,16.049931287765503,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.049931287765503,0,26,9a14e4a2
26,53.10199789695058,False,,,27,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-34,1649212714,0.506946325302124,16.556877613067627,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.556877613067627,0,27,9a14e4a2
27,53.10199789695058,False,,,28,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-35,1649212715,0.5104889869689941,17.06736660003662,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.06736660003662,0,28,9a14e4a2
28,53.41745531019979,False,,,29,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-35,1649212715,0.5044107437133789,17.57177734375,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.57177734375,0,29,9a14e4a2
29,54.62670872765511,False,,,30,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-36,1649212716,0.5036306381225586,18.07540798187256,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.07540798187256,0,30,9a14e4a2
30,53.89064143007361,False,,,31,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-36,1649212716,0.5209290981292725,18.59633708000183,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.59633708000183,0,31,9a14e4a2
31,56.67718191377497,False,,,32,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-37,1649212717,0.5132715702056885,19.10960865020752,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.10960865020752,0,32,9a14e4a2
32,53.25972660357519,False,,,33,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-37,1649212717,0.49701452255249023,19.60662317276001,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.60662317276001,0,33,9a14e4a2
33,53.10199789695058,False,,,34,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-38,1649212718,0.5068991184234619,20.11352229118347,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.11352229118347,0,34,9a14e4a2
34,47.3186119873817,False,,,35,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-38,1649212718,0.5035293102264404,20.617051601409912,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.617051601409912,0,35,9a14e4a2
35,55.41535226077813,False,,,36,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-39,1649212719,0.5094075202941895,21.1264591217041,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.1264591217041,0,36,9a14e4a2
36,55.467928496319665,False,,,37,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-39,1649212719,0.5165455341339111,21.643004655838013,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.643004655838013,0,37,9a14e4a2
37,55.15247108307045,False,,,38,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-40,1649212720,0.511960506439209,22.15496516227722,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.15496516227722,0,38,9a14e4a2
38,53.10199789695058,False,,,39,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-40,1649212720,0.498462438583374,22.653427600860596,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.653427600860596,0,39,9a14e4a2
39,53.10199789695058,False,,,40,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-41,1649212721,0.501953125,23.155380725860596,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.155380725860596,0,40,9a14e4a2
40,53.154574132492115,False,,,41,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-41,1649212721,0.516232967376709,23.671613693237305,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.671613693237305,0,41,9a14e4a2
41,65.14195583596214,False,,,42,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-42,1649212722,0.5026631355285645,24.17427682876587,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.17427682876587,0,42,9a14e4a2
42,53.20715036803365,False,,,43,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-42,1649212722,0.5060265064239502,24.68030333518982,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.68030333518982,0,43,9a14e4a2
43,56.36172450052577,False,,,44,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-43,1649212723,0.495769739151001,25.17607307434082,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.17607307434082,0,44,9a14e4a2
44,55.20504731861199,False,,,45,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-43,1649212723,0.5070679187774658,25.683140993118286,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.683140993118286,0,45,9a14e4a2
45,53.20715036803365,False,,,46,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-44,1649212724,0.5159909725189209,26.199131965637207,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.199131965637207,0,46,9a14e4a2
46,53.10199789695058,False,,,47,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-44,1649212724,0.5083417892456055,26.707473754882812,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.707473754882812,0,47,9a14e4a2
47,53.154574132492115,False,,,48,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-45,1649212725,0.523921012878418,27.23139476776123,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.23139476776123,0,48,9a14e4a2
48,53.20715036803365,False,,,49,a26d5593246f4f198ea5caac13a04228,2022-04-06_02-38-45,1649212725,0.5111434459686279,27.74253821372986,73154,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.74253821372986,0,49,9a14e4a2
