epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-48,1649212728,3.0606822967529297,3.0606822967529297,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.0606822967529297,0,1,9a286aab
1,53.10199789695058,False,,,2,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-53,1649212733,0.5603134632110596,3.6209957599639893,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.6209957599639893,0,2,9a286aab
2,53.10199789695058,False,,,3,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-53,1649212733,0.5165982246398926,4.137593984603882,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.137593984603882,0,3,9a286aab
3,53.10199789695058,False,,,4,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-54,1649212734,0.5044887065887451,4.642082691192627,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.642082691192627,0,4,9a286aab
4,53.10199789695058,False,,,5,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-54,1649212734,0.49880170822143555,5.1408843994140625,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.1408843994140625,0,5,9a286aab
5,53.10199789695058,False,,,6,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-55,1649212735,0.5019619464874268,5.642846345901489,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.642846345901489,0,6,9a286aab
6,53.10199789695058,False,,,7,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-55,1649212735,0.49108219146728516,6.133928537368774,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.133928537368774,0,7,9a286aab
7,53.10199789695058,False,,,8,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-56,1649212736,0.5170803070068359,6.65100884437561,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.65100884437561,0,8,9a286aab
8,53.10199789695058,False,,,9,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-56,1649212736,0.4947643280029297,7.14577317237854,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.14577317237854,0,9,9a286aab
9,53.10199789695058,False,,,10,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-57,1649212737,0.5175614356994629,7.663334608078003,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.663334608078003,0,10,9a286aab
10,53.10199789695058,False,,,11,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-57,1649212737,0.49884915351867676,8.16218376159668,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.16218376159668,0,11,9a286aab
11,53.10199789695058,False,,,12,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-58,1649212738,0.4973621368408203,8.6595458984375,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.6595458984375,0,12,9a286aab
12,53.10199789695058,False,,,13,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-58,1649212738,0.5111737251281738,9.170719623565674,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.170719623565674,0,13,9a286aab
13,53.10199789695058,False,,,14,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-59,1649212739,0.4926726818084717,9.663392305374146,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.663392305374146,0,14,9a286aab
14,53.10199789695058,False,,,15,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-38-59,1649212739,0.485562801361084,10.14895510673523,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.14895510673523,0,15,9a286aab
15,53.10199789695058,False,,,16,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-00,1649212740,0.47437548637390137,10.62333059310913,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.62333059310913,0,16,9a286aab
16,53.10199789695058,False,,,17,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-00,1649212740,0.47165942192077637,11.094990015029907,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.094990015029907,0,17,9a286aab
17,53.10199789695058,False,,,18,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-01,1649212741,0.478931188583374,11.573921203613281,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.573921203613281,0,18,9a286aab
18,53.10199789695058,False,,,19,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-01,1649212741,0.4805488586425781,12.05447006225586,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.05447006225586,0,19,9a286aab
19,53.10199789695058,False,,,20,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-02,1649212742,0.4883122444152832,12.542782306671143,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.542782306671143,0,20,9a286aab
20,53.10199789695058,False,,,21,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-02,1649212742,0.4849724769592285,13.027754783630371,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.027754783630371,0,21,9a286aab
21,53.10199789695058,False,,,22,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-03,1649212743,0.476595401763916,13.504350185394287,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.504350185394287,0,22,9a286aab
22,53.10199789695058,False,,,23,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-03,1649212743,0.4800541400909424,13.98440432548523,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.98440432548523,0,23,9a286aab
23,53.10199789695058,False,,,24,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-04,1649212744,0.48091769218444824,14.465322017669678,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.465322017669678,0,24,9a286aab
24,53.10199789695058,False,,,25,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-04,1649212744,0.4794342517852783,14.944756269454956,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.944756269454956,0,25,9a286aab
25,53.10199789695058,False,,,26,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-05,1649212745,0.47722744941711426,15.42198371887207,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.42198371887207,0,26,9a286aab
26,53.10199789695058,False,,,27,ee1f004ad29a49a3af7b0f63fdd874be,2022-04-06_02-39-05,1649212745,0.47722959518432617,15.899213314056396,73156,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.899213314056396,0,27,9a286aab
