epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,55.78338590956887,False,,,1,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-02,1649213582,2.9122025966644287,2.9122025966644287,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9122025966644287,0,1,a7aca848
1,52.89169295478444,False,,,2,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-02,1649213582,0.4427461624145508,3.3549487590789795,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.3549487590789795,0,2,a7aca848
2,52.99684542586751,False,,,3,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-03,1649213583,0.44753217697143555,3.802480936050415,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.802480936050415,0,3,a7aca848
3,53.31230283911672,False,,,4,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-03,1649213583,0.44954752922058105,4.252028465270996,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.252028465270996,0,4,a7aca848
4,53.10199789695058,False,,,5,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-04,1649213584,0.44838690757751465,4.700415372848511,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.700415372848511,0,5,a7aca848
5,53.68033648790747,False,,,6,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-04,1649213584,0.46791648864746094,5.168331861495972,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.168331861495972,0,6,a7aca848
6,53.04942166140905,False,,,7,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-05,1649213585,0.445667028427124,5.613998889923096,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.613998889923096,0,7,a7aca848
7,53.10199789695058,False,,,8,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-05,1649213585,0.4763774871826172,6.090376377105713,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.090376377105713,0,8,a7aca848
8,53.10199789695058,False,,,9,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-05,1649213585,0.45775318145751953,6.548129558563232,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.548129558563232,0,9,a7aca848
9,53.10199789695058,False,,,10,e2a1c227fda64ab790e230a1d8af8776,2022-04-06_02-53-06,1649213586,0.4678201675415039,7.015949726104736,73105,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.015949726104736,0,10,a7aca848
