epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,64.87907465825447,False,,,1,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-50,1649212730,2.954223394393921,2.954223394393921,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.954223394393921,0,1,ac4b2a6f
1,56.04626708727655,False,,,2,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-51,1649212731,0.4761488437652588,3.4303722381591797,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4303722381591797,0,2,ac4b2a6f
2,56.04626708727655,False,,,3,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-53,1649212733,0.48346662521362305,3.9138388633728027,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.9138388633728027,0,3,ac4b2a6f
3,53.10199789695058,False,,,4,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-53,1649212733,0.47730302810668945,4.391141891479492,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.391141891479492,0,4,ac4b2a6f
4,61.198738170347,False,,,5,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-54,1649212734,0.48322534561157227,4.8743672370910645,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.8743672370910645,0,5,ac4b2a6f
5,52.89169295478444,False,,,6,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-54,1649212734,0.48705506324768066,5.361422300338745,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.361422300338745,0,6,ac4b2a6f
6,60.672975814931654,False,,,7,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-55,1649212735,0.4838738441467285,5.845296144485474,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.845296144485474,0,7,ac4b2a6f
7,57.3080967402734,False,,,8,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-55,1649212735,0.4676649570465088,6.312961101531982,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.312961101531982,0,8,ac4b2a6f
8,54.15352260778128,False,,,9,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-56,1649212736,0.45288801193237305,6.7658491134643555,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.7658491134643555,0,9,ac4b2a6f
9,53.10199789695058,False,,,10,dd8eed3dcdca4b2ba5f0e348eb2686a7,2022-04-06_02-38-56,1649212736,0.47700953483581543,7.242858648300171,73152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.242858648300171,0,10,ac4b2a6f
