epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,60.41009463722398,False,,,1,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-51,1649212731,2.9361510276794434,2.9361510276794434,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9361510276794434,0,1,ad8de33b
1,62.25026288117771,False,,,2,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-53,1649212733,0.4740920066833496,3.410243034362793,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.410243034362793,0,2,ad8de33b
2,61.88222923238696,False,,,3,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-53,1649212733,0.47994256019592285,3.890185594558716,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.890185594558716,0,3,ad8de33b
3,62.35541535226078,False,,,4,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-54,1649212734,0.4597012996673584,4.349886894226074,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.349886894226074,0,4,ad8de33b
4,62.77602523659306,False,,,5,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-54,1649212734,0.4480743408203125,4.797961235046387,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.797961235046387,0,5,ad8de33b
5,62.72344900105152,False,,,6,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-55,1649212735,0.4657173156738281,5.263678550720215,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.263678550720215,0,6,ad8de33b
6,62.88117770767613,False,,,7,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-55,1649212735,0.45252084732055664,5.7161993980407715,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.7161993980407715,0,7,ad8de33b
7,62.9863301787592,False,,,8,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-55,1649212735,0.46708130836486816,6.18328070640564,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.18328070640564,0,8,ad8de33b
8,62.9863301787592,False,,,9,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-56,1649212736,0.4485900402069092,6.631870746612549,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.631870746612549,0,9,ad8de33b
9,63.03890641430073,False,,,10,53974121e2a14a8e972deddd54d94558,2022-04-06_02-38-56,1649212736,0.45304369926452637,7.084914445877075,73138,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.084914445877075,0,10,ad8de33b
