epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,47.37118822292324,False,,,1,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-38-56,1649212736,2.941086769104004,2.941086769104004,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.941086769104004,0,1,afd99fa5
1,58.46477392218718,False,,,2,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-38-57,1649212737,0.4930305480957031,3.434117317199707,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.434117317199707,0,2,afd99fa5
2,60.1472134595163,False,,,3,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-38-57,1649212737,0.5065288543701172,3.940646171569824,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.940646171569824,0,3,afd99fa5
3,62.03995793901157,False,,,4,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-38-58,1649212738,0.5014688968658447,4.442115068435669,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.442115068435669,0,4,afd99fa5
4,62.88117770767613,False,,,5,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-38-58,1649212738,0.4963359832763672,4.938451051712036,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.938451051712036,0,5,afd99fa5
5,65.14195583596214,False,,,6,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-38-59,1649212739,0.5022153854370117,5.440666437149048,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.440666437149048,0,6,afd99fa5
6,62.828601472134594,False,,,7,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-38-59,1649212739,0.4825427532196045,5.923209190368652,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.923209190368652,0,7,afd99fa5
7,58.78023133543638,False,,,8,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-39-00,1649212740,0.47322988510131836,6.396439075469971,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.396439075469971,0,8,afd99fa5
8,59.779179810725545,False,,,9,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-39-00,1649212740,0.48575711250305176,6.8821961879730225,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.8821961879730225,0,9,afd99fa5
9,62.72344900105152,False,,,10,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-39-01,1649212741,0.4908335208892822,7.373029708862305,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.373029708862305,0,10,afd99fa5
10,62.9863301787592,False,,,11,8db97902c03c4d99afb8fc5cc7425b2e,2022-04-06_02-39-01,1649212741,0.48319220542907715,7.856221914291382,73136,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.856221914291382,0,11,afd99fa5
