epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.20715036803365,False,,,1,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-21,1649212761,3.020674467086792,3.020674467086792,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.020674467086792,0,1,b168ed42
1,53.20715036803365,False,,,2,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-21,1649212761,0.5039000511169434,3.5245745182037354,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.5245745182037354,0,2,b168ed42
2,53.20715036803365,False,,,3,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-22,1649212762,0.49941253662109375,4.023987054824829,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.023987054824829,0,3,b168ed42
3,53.25972660357519,False,,,4,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-22,1649212762,0.49094223976135254,4.514929294586182,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.514929294586182,0,4,b168ed42
4,53.31230283911672,False,,,5,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-23,1649212763,0.5135362148284912,5.028465509414673,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.028465509414673,0,5,b168ed42
5,53.31230283911672,False,,,6,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-24,1649212764,0.4857301712036133,5.514195680618286,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.514195680618286,0,6,b168ed42
6,56.15141955835961,False,,,7,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-24,1649212764,0.4866673946380615,6.000863075256348,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.000863075256348,0,7,b168ed42
7,70.55730809674029,False,,,8,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-25,1649212765,0.4714231491088867,6.472286224365234,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.472286224365234,0,8,b168ed42
8,68.82229232386962,False,,,9,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-25,1649212765,0.502194881439209,6.974481105804443,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.974481105804443,0,9,b168ed42
9,56.992639327024186,False,,,10,62af6e21c1c0446f8ba5f195808b4ff1,2022-04-06_02-39-26,1649212766,0.47023677825927734,7.444717884063721,73146,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.444717884063721,0,10,b168ed42
