epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-25,1649213185,3.004516839981079,3.004516839981079,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.004516839981079,0,1,bb7d0bf7
1,53.10199789695058,False,,,2,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-26,1649213186,0.4741334915161133,3.4786503314971924,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4786503314971924,0,2,bb7d0bf7
2,53.10199789695058,False,,,3,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-26,1649213186,0.4723091125488281,3.9509594440460205,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.9509594440460205,0,3,bb7d0bf7
3,65.8254468980021,False,,,4,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-27,1649213187,0.47382235527038574,4.424781799316406,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.424781799316406,0,4,bb7d0bf7
4,65.3522607781283,False,,,5,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-28,1649213188,0.5038702487945557,4.928652048110962,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.928652048110962,0,5,bb7d0bf7
5,63.09148264984227,False,,,6,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-29,1649213189,0.47904181480407715,5.407693862915039,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.407693862915039,0,6,bb7d0bf7
6,71.87171398527865,False,,,7,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-29,1649213189,0.48185038566589355,5.889544248580933,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.889544248580933,0,7,bb7d0bf7
7,73.76445846477392,False,,,8,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-30,1649213190,0.47668933868408203,6.366233587265015,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.366233587265015,0,8,bb7d0bf7
8,68.92744479495269,False,,,9,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-30,1649213190,0.4646937847137451,6.83092737197876,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.83092737197876,0,9,bb7d0bf7
9,69.19032597266036,False,,,10,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-31,1649213191,0.46474695205688477,7.2956743240356445,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.2956743240356445,0,10,bb7d0bf7
10,69.71608832807571,False,,,11,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-31,1649213191,0.46649622917175293,7.7621705532073975,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.7621705532073975,0,11,bb7d0bf7
11,67.6130389064143,False,,,12,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-32,1649213192,0.45665621757507324,8.21882677078247,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.21882677078247,0,12,bb7d0bf7
12,68.5068349106204,False,,,13,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-32,1649213192,0.46784234046936035,8.686669111251831,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.686669111251831,0,13,bb7d0bf7
13,68.76971608832808,False,,,14,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-33,1649213193,0.4635651111602783,9.15023422241211,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.15023422241211,0,14,bb7d0bf7
14,69.82124079915877,False,,,15,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-33,1649213193,0.45603322982788086,9.60626745223999,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.60626745223999,0,15,bb7d0bf7
15,70.18927444794953,False,,,16,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-34,1649213194,0.45769286155700684,10.063960313796997,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.063960313796997,0,16,bb7d0bf7
16,70.13669821240799,False,,,17,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-34,1649213194,0.466127872467041,10.530088186264038,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.530088186264038,0,17,bb7d0bf7
17,70.13669821240799,False,,,18,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-35,1649213195,0.46327877044677734,10.993366956710815,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.993366956710815,0,18,bb7d0bf7
18,68.55941114616193,False,,,19,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-35,1649213195,0.4690389633178711,11.462405920028687,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.462405920028687,0,19,bb7d0bf7
19,69.71608832807571,False,,,20,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-35,1649213195,0.47277140617370605,11.935177326202393,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.935177326202393,0,20,bb7d0bf7
20,69.29547844374343,False,,,21,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-36,1649213196,0.46362757682800293,12.398804903030396,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.398804903030396,0,21,bb7d0bf7
21,68.08622502628812,False,,,22,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-36,1649213196,0.4569509029388428,12.855755805969238,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.855755805969238,0,22,bb7d0bf7
22,70.97791798107255,False,,,23,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-37,1649213197,0.4688591957092285,13.324615001678467,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.324615001678467,0,23,bb7d0bf7
23,70.24185068349105,False,,,24,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-37,1649213197,0.4756648540496826,13.80027985572815,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.80027985572815,0,24,bb7d0bf7
24,70.18927444794953,False,,,25,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-38,1649213198,0.4712710380554199,14.27155089378357,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.27155089378357,0,25,bb7d0bf7
25,69.97896950578338,False,,,26,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-38,1649213198,0.46332716941833496,14.734878063201904,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.734878063201904,0,26,bb7d0bf7
26,70.13669821240799,False,,,27,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-39,1649213199,0.47147226333618164,15.206350326538086,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.206350326538086,0,27,bb7d0bf7
27,69.66351209253418,False,,,28,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-39,1649213199,0.4557156562805176,15.662065982818604,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.662065982818604,0,28,bb7d0bf7
28,70.66246056782335,False,,,29,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-40,1649213200,0.4734463691711426,16.135512351989746,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.135512351989746,0,29,bb7d0bf7
29,70.29442691903259,False,,,30,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-40,1649213200,0.4610140323638916,16.596526384353638,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.596526384353638,0,30,bb7d0bf7
30,70.4521556256572,False,,,31,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-41,1649213201,0.4537656307220459,17.050292015075684,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.050292015075684,0,31,bb7d0bf7
31,70.34700315457413,False,,,32,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-41,1649213201,0.45607805252075195,17.506370067596436,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.506370067596436,0,32,bb7d0bf7
32,69.97896950578338,False,,,33,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-42,1649213202,0.46875905990600586,17.97512912750244,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.97512912750244,0,33,bb7d0bf7
33,69.82124079915877,False,,,34,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-42,1649213202,0.4569270610809326,18.432056188583374,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.432056188583374,0,34,bb7d0bf7
34,70.18927444794953,False,,,35,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-43,1649213203,0.4577209949493408,18.889777183532715,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.889777183532715,0,35,bb7d0bf7
35,70.08412197686646,False,,,36,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-43,1649213203,0.4609966278076172,19.350773811340332,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.350773811340332,0,36,bb7d0bf7
36,69.4006309148265,False,,,37,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-43,1649213203,0.4696164131164551,19.820390224456787,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.820390224456787,0,37,bb7d0bf7
37,69.97896950578338,False,,,38,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-44,1649213204,0.46159791946411133,20.2819881439209,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.2819881439209,0,38,bb7d0bf7
38,70.34700315457413,False,,,39,8fb25575d1ce46559b545408cb587b46,2022-04-06_02-46-44,1649213204,0.47769689559936523,20.759685039520264,73149,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.759685039520264,0,39,bb7d0bf7
