epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,56.782334384858046,False,,,1,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-34,1649213194,2.9378693103790283,2.9378693103790283,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9378693103790283,0,1,c135a1c6
1,55.047318611987386,False,,,2,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-34,1649213194,0.4809722900390625,3.418841600418091,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.418841600418091,0,2,c135a1c6
2,54.31125131440589,False,,,3,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-35,1649213195,0.48441052436828613,3.903252124786377,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.903252124786377,0,3,c135a1c6
3,53.68033648790747,False,,,4,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-35,1649213195,0.4988114833831787,4.402063608169556,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.402063608169556,0,4,c135a1c6
4,54.20609884332281,False,,,5,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-36,1649213196,0.4802854061126709,4.882349014282227,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.882349014282227,0,5,c135a1c6
5,53.83806519453207,False,,,6,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-36,1649213196,0.47210073471069336,5.35444974899292,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.35444974899292,0,6,c135a1c6
6,54.57413249211357,False,,,7,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-37,1649213197,0.4721102714538574,5.826560020446777,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.826560020446777,0,7,c135a1c6
7,54.4689800210305,False,,,8,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-37,1649213197,0.47157859802246094,6.298138618469238,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.298138618469238,0,8,c135a1c6
8,54.31125131440589,False,,,9,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-38,1649213198,0.4777064323425293,6.775845050811768,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.775845050811768,0,9,c135a1c6
9,54.679284963196636,False,,,10,60542f9e7216409d91ef7391a763dc86,2022-04-06_02-46-38,1649213198,0.4820692539215088,7.257914304733276,73103,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.257914304733276,0,10,c135a1c6
