epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-50,1649213630,2.87746000289917,2.87746000289917,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.87746000289917,0,1,c4735c31
1,53.10199789695058,False,,,2,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-51,1649213631,0.447129487991333,3.324589490890503,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.324589490890503,0,2,c4735c31
2,53.10199789695058,False,,,3,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-51,1649213631,0.44252514839172363,3.7671146392822266,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.7671146392822266,0,3,c4735c31
3,53.10199789695058,False,,,4,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-52,1649213632,0.44357776641845703,4.210692405700684,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.210692405700684,0,4,c4735c31
4,53.10199789695058,False,,,5,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-52,1649213632,0.4539968967437744,4.664689302444458,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.664689302444458,0,5,c4735c31
5,53.10199789695058,False,,,6,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-53,1649213633,0.445465087890625,5.110154390335083,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.110154390335083,0,6,c4735c31
6,53.04942166140905,False,,,7,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-53,1649213633,0.44871020317077637,5.558864593505859,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.558864593505859,0,7,c4735c31
7,55.36277602523659,False,,,8,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-54,1649213634,0.4465456008911133,6.005410194396973,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.005410194396973,0,8,c4735c31
8,57.623554153522605,False,,,9,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-54,1649213634,0.46274876594543457,6.468158960342407,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.468158960342407,0,9,c4735c31
9,58.149316508937964,False,,,10,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-55,1649213635,0.4454073905944824,6.91356635093689,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.91356635093689,0,10,c4735c31
10,58.72765509989485,False,,,11,2dc998ab35984d779193caa842b5f556,2022-04-06_02-53-55,1649213635,0.44549560546875,7.35906195640564,73104,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.35906195640564,0,11,c4735c31
