epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-46-58,1649213218,2.9253737926483154,2.9253737926483154,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9253737926483154,0,1,cfc012e8
1,53.10199789695058,False,,,2,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-00,1649213220,0.5005557537078857,3.425929546356201,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.425929546356201,0,2,cfc012e8
2,59.726603575184015,False,,,3,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-00,1649213220,0.4717440605163574,3.8976736068725586,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.8976736068725586,0,3,cfc012e8
3,72.50262881177709,False,,,4,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-01,1649213221,0.485156774520874,4.382830381393433,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.382830381393433,0,4,cfc012e8
4,53.154574132492115,False,,,5,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-01,1649213221,0.4815824031829834,4.864412784576416,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.864412784576416,0,5,cfc012e8
5,53.154574132492115,False,,,6,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-02,1649213222,0.49718213081359863,5.361594915390015,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.361594915390015,0,6,cfc012e8
6,53.31230283911672,False,,,7,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-02,1649213222,0.5027735233306885,5.864368438720703,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.864368438720703,0,7,cfc012e8
7,53.154574132492115,False,,,8,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-03,1649213223,0.4797534942626953,6.344121932983398,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.344121932983398,0,8,cfc012e8
8,53.83806519453207,False,,,9,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-03,1649213223,0.482105016708374,6.8262269496917725,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.8262269496917725,0,9,cfc012e8
9,72.92323869610937,False,,,10,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-04,1649213224,0.5029318332672119,7.329158782958984,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.329158782958984,0,10,cfc012e8
10,54.52155625657203,False,,,11,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-04,1649213224,0.49088144302368164,7.820040225982666,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.820040225982666,0,11,cfc012e8
11,76.49842271293376,False,,,12,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-05,1649213225,0.471942663192749,8.291982889175415,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.291982889175415,0,12,cfc012e8
12,78.18086225026289,False,,,13,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-05,1649213225,0.4828169345855713,8.774799823760986,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.774799823760986,0,13,cfc012e8
13,47.94952681388013,False,,,14,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-06,1649213226,0.4862198829650879,9.261019706726074,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.261019706726074,0,14,cfc012e8
14,71.1882229232387,False,,,15,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-06,1649213226,0.4865243434906006,9.747544050216675,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.747544050216675,0,15,cfc012e8
15,68.664563617245,False,,,16,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-07,1649213227,0.47155117988586426,10.219095230102539,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.219095230102539,0,16,cfc012e8
16,73.55415352260778,False,,,17,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-07,1649213227,0.4938349723815918,10.71293020248413,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.71293020248413,0,17,cfc012e8
17,76.34069400630915,False,,,18,72972f45d2d04bcc9d2bc528d0e20275,2022-04-06_02-47-07,1649213227,0.47829270362854004,11.191222906112671,73130,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.191222906112671,0,18,cfc012e8
