epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-24,1649213664,2.8466637134552,2.8466637134552,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.8466637134552,0,1,d779e5f1
1,77.60252365930599,False,,,2,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-29,1649213669,0.4952371120452881,3.3419008255004883,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.3419008255004883,0,2,d779e5f1
2,65.19453207150369,False,,,3,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-29,1649213669,0.4709961414337158,3.812896966934204,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.812896966934204,0,3,d779e5f1
3,78.07570977917982,False,,,4,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-30,1649213670,0.4913616180419922,4.304258584976196,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.304258584976196,0,4,d779e5f1
4,78.86435331230284,False,,,5,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-30,1649213670,0.48430824279785156,4.788566827774048,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.788566827774048,0,5,d779e5f1
5,78.60147213459516,False,,,6,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-31,1649213671,0.47495412826538086,5.263520956039429,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.263520956039429,0,6,d779e5f1
6,79.17981072555204,False,,,7,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-31,1649213671,0.47425293922424316,5.737773895263672,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.737773895263672,0,7,d779e5f1
7,79.02208201892745,False,,,8,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-32,1649213672,0.47484850883483887,6.212622404098511,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.212622404098511,0,8,d779e5f1
8,78.65404837013669,False,,,9,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-32,1649213672,0.4722938537597656,6.684916257858276,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.684916257858276,0,9,d779e5f1
9,78.44374342797056,False,,,10,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-33,1649213673,0.4662752151489258,7.151191473007202,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.151191473007202,0,10,d779e5f1
10,78.96950578338591,False,,,11,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-33,1649213673,0.47696614265441895,7.628157615661621,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.628157615661621,0,11,d779e5f1
11,79.02208201892745,False,,,12,2fba6e6c2a404681bcbd78f8e7b1427e,2022-04-06_02-54-34,1649213674,0.46776294708251953,8.09592056274414,73098,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.09592056274414,0,12,d779e5f1
