epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-34,1649213674,2.9513967037200928,2.9513967037200928,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9513967037200928,0,1,dd8b7767
1,53.10199789695058,False,,,2,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-35,1649213675,0.47927021980285645,3.430666923522949,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.430666923522949,0,2,dd8b7767
2,53.10199789695058,False,,,3,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-35,1649213675,0.4604511260986328,3.891118049621582,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.891118049621582,0,3,dd8b7767
3,53.10199789695058,False,,,4,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-36,1649213676,0.45793819427490234,4.349056243896484,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.349056243896484,0,4,dd8b7767
4,53.10199789695058,False,,,5,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-36,1649213676,0.46692681312561035,4.815983057022095,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.815983057022095,0,5,dd8b7767
5,53.10199789695058,False,,,6,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-37,1649213677,0.45522284507751465,5.271205902099609,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.271205902099609,0,6,dd8b7767
6,53.10199789695058,False,,,7,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-37,1649213677,0.4573214054107666,5.728527307510376,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.728527307510376,0,7,dd8b7767
7,53.10199789695058,False,,,8,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-38,1649213678,0.46580982208251953,6.1943371295928955,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.1943371295928955,0,8,dd8b7767
8,53.10199789695058,False,,,9,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-38,1649213678,0.4705512523651123,6.664888381958008,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.664888381958008,0,9,dd8b7767
9,53.10199789695058,False,,,10,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-39,1649213679,0.4750518798828125,7.13994026184082,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.13994026184082,0,10,dd8b7767
10,53.10199789695058,False,,,11,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-39,1649213679,0.4952991008758545,7.635239362716675,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.635239362716675,0,11,dd8b7767
11,53.10199789695058,False,,,12,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-40,1649213680,0.47440481185913086,8.109644174575806,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.109644174575806,0,12,dd8b7767
12,53.10199789695058,False,,,13,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-40,1649213680,0.46373915672302246,8.573383331298828,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.573383331298828,0,13,dd8b7767
13,53.10199789695058,False,,,14,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-41,1649213681,0.45405030250549316,9.027433633804321,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.027433633804321,0,14,dd8b7767
14,63.932702418506835,False,,,15,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-41,1649213681,0.4528799057006836,9.480313539505005,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.480313539505005,0,15,dd8b7767
15,62.72344900105152,False,,,16,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-42,1649213682,0.4609260559082031,9.941239595413208,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.941239595413208,0,16,dd8b7767
16,61.09358569926393,False,,,17,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-42,1649213682,0.45946407318115234,10.40070366859436,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.40070366859436,0,17,dd8b7767
17,61.72450052576236,False,,,18,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-43,1649213683,0.4573211669921875,10.858024835586548,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.858024835586548,0,18,dd8b7767
18,62.25026288117771,False,,,19,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-43,1649213683,0.4527420997619629,11.31076693534851,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.31076693534851,0,19,dd8b7767
19,61.3564668769716,False,,,20,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-44,1649213684,0.4581019878387451,11.768868923187256,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.768868923187256,0,20,dd8b7767
20,61.67192429022082,False,,,21,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-44,1649213684,0.4597785472869873,12.228647470474243,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.228647470474243,0,21,dd8b7767
21,61.461619348054676,False,,,22,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-48,1649213688,0.4618968963623047,12.690544366836548,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.690544366836548,0,22,dd8b7767
22,61.3564668769716,False,,,23,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-48,1649213688,0.45656585693359375,13.147110223770142,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.147110223770142,0,23,dd8b7767
23,61.40904311251314,False,,,24,574a69d261164a4b8d53a241cb95b2c5,2022-04-06_02-54-49,1649213689,0.45604372024536133,13.603153944015503,73108,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.603153944015503,0,24,dd8b7767
