epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-53,1649213693,2.986058235168457,2.986058235168457,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.986058235168457,0,1,e9af47a3
1,53.10199789695058,False,,,2,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-54,1649213694,0.46032142639160156,3.4463796615600586,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4463796615600586,0,2,e9af47a3
2,53.10199789695058,False,,,3,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-54,1649213694,0.45052027702331543,3.896899938583374,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.896899938583374,0,3,e9af47a3
3,53.10199789695058,False,,,4,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-55,1649213695,0.44762754440307617,4.34452748298645,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.34452748298645,0,4,e9af47a3
4,53.10199789695058,False,,,5,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-55,1649213695,0.46312832832336426,4.8076558113098145,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.8076558113098145,0,5,e9af47a3
5,53.10199789695058,False,,,6,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-56,1649213696,0.47054600715637207,5.2782018184661865,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.2782018184661865,0,6,e9af47a3
6,53.10199789695058,False,,,7,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-56,1649213696,0.444535493850708,5.7227373123168945,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.7227373123168945,0,7,e9af47a3
7,53.10199789695058,False,,,8,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-57,1649213697,0.4472231864929199,6.1699604988098145,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.1699604988098145,0,8,e9af47a3
8,53.10199789695058,False,,,9,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-57,1649213697,0.456402063369751,6.626362562179565,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.626362562179565,0,9,e9af47a3
9,53.10199789695058,False,,,10,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-58,1649213698,0.44996047019958496,7.07632303237915,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.07632303237915,0,10,e9af47a3
10,58.62250262881178,False,,,11,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-58,1649213698,0.44141459465026855,7.517737627029419,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.517737627029419,0,11,e9af47a3
11,65.14195583596214,False,,,12,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-59,1649213699,0.4575657844543457,7.975303411483765,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.975303411483765,0,12,e9af47a3
12,63.45951629863302,False,,,13,2e4bb2f2069f4f67b91fe3efbf208895,2022-04-06_02-54-59,1649213699,0.44393491744995117,8.419238328933716,73077,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.419238328933716,0,13,e9af47a3
