epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,45.79390115667718,False,,,1,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-43,1649212843,2.9238994121551514,2.9238994121551514,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9238994121551514,0,1,ef85e80c
1,56.83491062039958,False,,,2,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-43,1649212843,0.44643402099609375,3.370333433151245,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.370333433151245,0,2,ef85e80c
2,43.11251314405888,False,,,3,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-44,1649212844,0.45535826683044434,3.8256916999816895,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.8256916999816895,0,3,ef85e80c
3,33.49106203995794,False,,,4,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-44,1649212844,0.44565510749816895,4.271346807479858,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.271346807479858,0,4,ef85e80c
4,53.10199789695058,False,,,5,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-45,1649212845,0.46762990951538086,4.738976716995239,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.738976716995239,0,5,ef85e80c
5,52.208201892744476,False,,,6,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-45,1649212845,0.4729878902435303,5.2119646072387695,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.2119646072387695,0,6,ef85e80c
6,53.10199789695058,False,,,7,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-46,1649212846,0.4671323299407959,5.679096937179565,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.679096937179565,0,7,ef85e80c
7,41.6403785488959,False,,,8,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-46,1649212846,0.48773860931396484,6.16683554649353,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.16683554649353,0,8,ef85e80c
8,47.003154574132495,False,,,9,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-47,1649212847,0.47832322120666504,6.645158767700195,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.645158767700195,0,9,ef85e80c
9,46.89800210304942,False,,,10,106b63d828124c8787e4786e3c6b9b0b,2022-04-06_02-40-47,1649212847,0.4808766841888428,7.126035451889038,73133,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.126035451889038,0,10,ef85e80c
