epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,05b222e926164566b46b87650f725303,2022-04-06_02-40-48,1649212848,2.8688242435455322,2.8688242435455322,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.8688242435455322,0,1,f3bbd51f
1,46.635120925341745,False,,,2,05b222e926164566b46b87650f725303,2022-04-06_02-40-49,1649212849,0.44347548484802246,3.3122997283935547,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.3122997283935547,0,2,f3bbd51f
2,53.10199789695058,False,,,3,05b222e926164566b46b87650f725303,2022-04-06_02-40-49,1649212849,0.45085620880126953,3.763155937194824,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.763155937194824,0,3,f3bbd51f
3,53.10199789695058,False,,,4,05b222e926164566b46b87650f725303,2022-04-06_02-40-50,1649212850,0.4721410274505615,4.235296964645386,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.235296964645386,0,4,f3bbd51f
4,53.10199789695058,False,,,5,05b222e926164566b46b87650f725303,2022-04-06_02-40-50,1649212850,0.45786476135253906,4.693161725997925,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.693161725997925,0,5,f3bbd51f
5,53.10199789695058,False,,,6,05b222e926164566b46b87650f725303,2022-04-06_02-40-51,1649212851,0.4565858840942383,5.149747610092163,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.149747610092163,0,6,f3bbd51f
6,53.10199789695058,False,,,7,05b222e926164566b46b87650f725303,2022-04-06_02-40-51,1649212851,0.4597775936126709,5.609525203704834,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.609525203704834,0,7,f3bbd51f
7,53.10199789695058,False,,,8,05b222e926164566b46b87650f725303,2022-04-06_02-40-52,1649212852,0.47574734687805176,6.085272550582886,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.085272550582886,0,8,f3bbd51f
8,53.10199789695058,False,,,9,05b222e926164566b46b87650f725303,2022-04-06_02-40-52,1649212852,0.46700239181518555,6.552274942398071,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.552274942398071,0,9,f3bbd51f
9,53.10199789695058,False,,,10,05b222e926164566b46b87650f725303,2022-04-06_02-40-52,1649212852,0.4593696594238281,7.011644601821899,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.011644601821899,0,10,f3bbd51f
10,53.10199789695058,False,,,11,05b222e926164566b46b87650f725303,2022-04-06_02-40-53,1649212853,0.4587898254394531,7.4704344272613525,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.4704344272613525,0,11,f3bbd51f
11,53.10199789695058,False,,,12,05b222e926164566b46b87650f725303,2022-04-06_02-40-53,1649212853,0.44079136848449707,7.91122579574585,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.91122579574585,0,12,f3bbd51f
12,53.10199789695058,False,,,13,05b222e926164566b46b87650f725303,2022-04-06_02-40-54,1649212854,0.4413738250732422,8.352599620819092,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.352599620819092,0,13,f3bbd51f
13,53.10199789695058,False,,,14,05b222e926164566b46b87650f725303,2022-04-06_02-40-54,1649212854,0.44457268714904785,8.79717230796814,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.79717230796814,0,14,f3bbd51f
14,53.10199789695058,False,,,15,05b222e926164566b46b87650f725303,2022-04-06_02-40-55,1649212855,0.44702577590942383,9.244198083877563,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.244198083877563,0,15,f3bbd51f
15,53.10199789695058,False,,,16,05b222e926164566b46b87650f725303,2022-04-06_02-40-55,1649212855,0.4723548889160156,9.716552972793579,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.716552972793579,0,16,f3bbd51f
16,53.10199789695058,False,,,17,05b222e926164566b46b87650f725303,2022-04-06_02-40-56,1649212856,0.45203566551208496,10.168588638305664,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.168588638305664,0,17,f3bbd51f
17,53.10199789695058,False,,,18,05b222e926164566b46b87650f725303,2022-04-06_02-40-56,1649212856,0.48967766761779785,10.658266305923462,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.658266305923462,0,18,f3bbd51f
18,53.10199789695058,False,,,19,05b222e926164566b46b87650f725303,2022-04-06_02-40-57,1649212857,0.4438333511352539,11.102099657058716,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.102099657058716,0,19,f3bbd51f
19,53.10199789695058,False,,,20,05b222e926164566b46b87650f725303,2022-04-06_02-40-57,1649212857,0.46509504318237305,11.567194700241089,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.567194700241089,0,20,f3bbd51f
20,53.10199789695058,False,,,21,05b222e926164566b46b87650f725303,2022-04-06_02-40-58,1649212858,0.43535280227661133,12.0025475025177,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.0025475025177,0,21,f3bbd51f
21,53.10199789695058,False,,,22,05b222e926164566b46b87650f725303,2022-04-06_02-40-58,1649212858,0.46169066429138184,12.464238166809082,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.464238166809082,0,22,f3bbd51f
22,53.10199789695058,False,,,23,05b222e926164566b46b87650f725303,2022-04-06_02-40-58,1649212858,0.43982672691345215,12.904064893722534,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.904064893722534,0,23,f3bbd51f
23,53.10199789695058,False,,,24,05b222e926164566b46b87650f725303,2022-04-06_02-40-59,1649212859,0.45534658432006836,13.359411478042603,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.359411478042603,0,24,f3bbd51f
24,53.10199789695058,False,,,25,05b222e926164566b46b87650f725303,2022-04-06_02-40-59,1649212859,0.4595918655395508,13.819003343582153,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.819003343582153,0,25,f3bbd51f
25,53.10199789695058,False,,,26,05b222e926164566b46b87650f725303,2022-04-06_02-41-00,1649212860,0.44994425773620605,14.26894760131836,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.26894760131836,0,26,f3bbd51f
26,53.10199789695058,False,,,27,05b222e926164566b46b87650f725303,2022-04-06_02-41-00,1649212860,0.471987247467041,14.7409348487854,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.7409348487854,0,27,f3bbd51f
27,53.10199789695058,False,,,28,05b222e926164566b46b87650f725303,2022-04-06_02-41-01,1649212861,0.44485974311828613,15.185794591903687,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.185794591903687,0,28,f3bbd51f
28,53.10199789695058,False,,,29,05b222e926164566b46b87650f725303,2022-04-06_02-41-01,1649212861,0.45418667793273926,15.639981269836426,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.639981269836426,0,29,f3bbd51f
29,53.10199789695058,False,,,30,05b222e926164566b46b87650f725303,2022-04-06_02-41-02,1649212862,0.44408321380615234,16.084064483642578,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.084064483642578,0,30,f3bbd51f
30,53.10199789695058,False,,,31,05b222e926164566b46b87650f725303,2022-04-06_02-41-02,1649212862,0.44872140884399414,16.532785892486572,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.532785892486572,0,31,f3bbd51f
31,53.10199789695058,False,,,32,05b222e926164566b46b87650f725303,2022-04-06_02-41-03,1649212863,0.46436524391174316,16.997151136398315,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.997151136398315,0,32,f3bbd51f
32,53.10199789695058,False,,,33,05b222e926164566b46b87650f725303,2022-04-06_02-41-03,1649212863,0.44067955017089844,17.437830686569214,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.437830686569214,0,33,f3bbd51f
33,53.10199789695058,False,,,34,05b222e926164566b46b87650f725303,2022-04-06_02-41-03,1649212863,0.457134485244751,17.894965171813965,73111,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.894965171813965,0,34,f3bbd51f
