epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.25972660357519,False,,,1,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-09,1649213289,3.0048160552978516,3.0048160552978516,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.0048160552978516,0,1,f9e1b219
1,53.62776025236593,False,,,2,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-11,1649213291,0.5243844985961914,3.529200553894043,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.529200553894043,0,2,f9e1b219
2,54.62670872765511,False,,,3,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-11,1649213291,0.4957911968231201,4.024991750717163,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.024991750717163,0,3,f9e1b219
3,73.29127234490011,False,,,4,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-12,1649213292,0.4908106327056885,4.515802383422852,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.515802383422852,0,4,f9e1b219
4,70.66246056782335,False,,,5,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-12,1649213292,0.4873466491699219,5.003149032592773,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.003149032592773,0,5,f9e1b219
5,74.65825446898002,False,,,6,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-13,1649213293,0.493976354598999,5.4971253871917725,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.4971253871917725,0,6,f9e1b219
6,77.28706624605678,False,,,7,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-13,1649213293,0.4957311153411865,5.992856502532959,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.992856502532959,0,7,f9e1b219
7,77.54994742376445,False,,,8,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-14,1649213294,0.4922142028808594,6.485070705413818,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.485070705413818,0,8,f9e1b219
8,77.49737118822291,False,,,9,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-14,1649213294,0.48944950103759766,6.974520206451416,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.974520206451416,0,9,f9e1b219
9,78.02313354363828,False,,,10,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-15,1649213295,0.4849884510040283,7.459508657455444,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.459508657455444,0,10,f9e1b219
10,79.02208201892745,False,,,11,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-15,1649213295,0.4858860969543457,7.94539475440979,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.94539475440979,0,11,f9e1b219
11,79.49526813880126,False,,,12,b4cfa72c78594e1285a5289c3f9b00aa,2022-04-06_02-48-16,1649213296,0.4971013069152832,8.442496061325073,73101,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.442496061325073,0,12,f9e1b219
