epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-16,1649213296,3.0181338787078857,3.0181338787078857,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.0181338787078857,0,1,fe1cb22b
1,53.10199789695058,False,,,2,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-16,1649213296,0.4653129577636719,3.4834468364715576,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.4834468364715576,0,2,fe1cb22b
2,53.10199789695058,False,,,3,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-17,1649213297,0.47226905822753906,3.9557158946990967,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.9557158946990967,0,3,fe1cb22b
3,53.10199789695058,False,,,4,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-17,1649213297,0.474102258682251,4.429818153381348,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.429818153381348,0,4,fe1cb22b
4,53.10199789695058,False,,,5,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-18,1649213298,0.4787919521331787,4.908610105514526,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.908610105514526,0,5,fe1cb22b
5,53.10199789695058,False,,,6,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-18,1649213298,0.469714879989624,5.37832498550415,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.37832498550415,0,6,fe1cb22b
6,53.10199789695058,False,,,7,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-19,1649213299,0.48314762115478516,5.8614726066589355,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.8614726066589355,0,7,fe1cb22b
7,53.10199789695058,False,,,8,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-19,1649213299,0.48215556144714355,6.343628168106079,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.343628168106079,0,8,fe1cb22b
8,53.10199789695058,False,,,9,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-20,1649213300,0.46527862548828125,6.80890679359436,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.80890679359436,0,9,fe1cb22b
9,53.10199789695058,False,,,10,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-20,1649213300,0.4578428268432617,7.266749620437622,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.266749620437622,0,10,fe1cb22b
10,53.10199789695058,False,,,11,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-21,1649213301,0.459214448928833,7.725964069366455,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.725964069366455,0,11,fe1cb22b
11,53.10199789695058,False,,,12,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-21,1649213301,0.46126461029052734,8.187228679656982,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.187228679656982,0,12,fe1cb22b
12,53.10199789695058,False,,,13,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-22,1649213302,0.4728713035583496,8.660099983215332,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.660099983215332,0,13,fe1cb22b
13,53.10199789695058,False,,,14,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-22,1649213302,0.4687056541442871,9.12880563735962,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.12880563735962,0,14,fe1cb22b
14,53.10199789695058,False,,,15,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-23,1649213303,0.4641456604003906,9.59295129776001,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.59295129776001,0,15,fe1cb22b
15,53.10199789695058,False,,,16,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-23,1649213303,0.4619631767272949,10.054914474487305,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.054914474487305,0,16,fe1cb22b
16,53.10199789695058,False,,,17,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-24,1649213304,0.4671139717102051,10.52202844619751,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.52202844619751,0,17,fe1cb22b
17,53.10199789695058,False,,,18,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-24,1649213304,0.4798262119293213,11.001854658126831,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.001854658126831,0,18,fe1cb22b
18,53.10199789695058,False,,,19,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-25,1649213305,0.469118595123291,11.470973253250122,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.470973253250122,0,19,fe1cb22b
19,53.10199789695058,False,,,20,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-25,1649213305,0.500079870223999,11.971053123474121,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.971053123474121,0,20,fe1cb22b
20,53.10199789695058,False,,,21,cd963e2075154a57b2d92c576b9baa2c,2022-04-06_02-48-26,1649213306,0.4761219024658203,12.447175025939941,73134,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.447175025939941,0,21,fe1cb22b
