epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-28,1649213728,2.9306681156158447,2.9306681156158447,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,2.9306681156158447,0,1,ff367790
1,54.889589905362776,False,,,2,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-29,1649213729,0.4343841075897217,3.3650522232055664,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.3650522232055664,0,2,ff367790
2,49.52681388012618,False,,,3,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-29,1649213729,0.42453670501708984,3.7895889282226562,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.7895889282226562,0,3,ff367790
3,53.10199789695058,False,,,4,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-30,1649213730,0.43383288383483887,4.223421812057495,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.223421812057495,0,4,ff367790
4,53.10199789695058,False,,,5,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-30,1649213730,0.4361867904663086,4.659608602523804,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.659608602523804,0,5,ff367790
5,53.10199789695058,False,,,6,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-31,1649213731,0.4469623565673828,5.1065709590911865,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.1065709590911865,0,6,ff367790
6,73.55415352260778,False,,,7,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-31,1649213731,0.4348735809326172,5.541444540023804,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.541444540023804,0,7,ff367790
7,51.31440588853838,False,,,8,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-32,1649213732,0.437253475189209,5.978698015213013,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.978698015213013,0,8,ff367790
8,77.28706624605678,False,,,9,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-32,1649213732,0.4316229820251465,6.410320997238159,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.410320997238159,0,9,ff367790
9,64.30073606729758,False,,,10,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-33,1649213733,0.43007445335388184,6.840395450592041,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.840395450592041,0,10,ff367790
10,46.37223974763407,False,,,11,8086b4d0e46a4a66bef80ce5ae23bcc9,2022-04-06_02-55-33,1649213733,0.43771958351135254,7.2781150341033936,73106,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.2781150341033936,0,11,ff367790
