epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,54.04837013669821,False,,,1,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-35,1649218055,7.4344642162323,7.4344642162323,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.4344642162323,0,1,0d07f41b
1,73.60672975814931,False,,,2,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-37,1649218057,1.761579990386963,9.196044206619263,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.196044206619263,0,2,0d07f41b
2,74.55310199789696,False,,,3,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-39,1649218059,1.7748022079467773,10.97084641456604,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.97084641456604,0,3,0d07f41b
3,53.52260778128286,False,,,4,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-41,1649218061,1.7746882438659668,12.745534658432007,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.745534658432007,0,4,0d07f41b
4,54.99474237644585,False,,,5,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-43,1649218063,1.7695767879486084,14.515111446380615,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.515111446380615,0,5,0d07f41b
5,53.10199789695058,False,,,6,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-45,1649218065,1.7692406177520752,16.28435206413269,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.28435206413269,0,6,0d07f41b
6,57.72870662460568,False,,,7,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-47,1649218067,1.768608808517456,18.052960872650146,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.052960872650146,0,7,0d07f41b
7,73.76445846477392,False,,,8,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-48,1649218068,1.769615650177002,19.82257652282715,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.82257652282715,0,8,0d07f41b
8,70.03154574132492,False,,,9,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-50,1649218070,1.770906925201416,21.593483448028564,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.593483448028564,0,9,0d07f41b
9,77.23449001051524,False,,,10,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-53,1649218073,1.7641284465789795,23.357611894607544,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.357611894607544,0,10,0d07f41b
10,81.96635120925342,False,,,11,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-55,1649218075,1.7501912117004395,25.107803106307983,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.107803106307983,0,11,0d07f41b
11,71.55625657202944,False,,,12,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-56,1649218076,1.6567661762237549,26.76456928253174,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.76456928253174,0,12,0d07f41b
12,82.22923238696109,False,,,13,beef218b2345429ba18083ef7014b28c,2022-04-06_04-07-58,1649218078,1.7585744857788086,28.523143768310547,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.523143768310547,0,13,0d07f41b
13,67.92849631966351,False,,,14,beef218b2345429ba18083ef7014b28c,2022-04-06_04-08-00,1649218080,1.7513227462768555,30.274466514587402,90192,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.274466514587402,0,14,0d07f41b
