epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,56.20399579390115,False,,,1,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-30,1649217630,6.659962177276611,6.659962177276611,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.659962177276611,0,1,0f51e814
1,53.10199789695058,False,,,2,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-32,1649217632,1.7554140090942383,8.41537618637085,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.41537618637085,0,2,0f51e814
2,58.46477392218718,False,,,3,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-34,1649217634,1.7682578563690186,10.183634042739868,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.183634042739868,0,3,0f51e814
3,54.41640378548895,False,,,4,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-36,1649217636,1.7553987503051758,11.939032793045044,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.939032793045044,0,4,0f51e814
4,53.154574132492115,False,,,5,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-38,1649217638,1.7970733642578125,13.736106157302856,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.736106157302856,0,5,0f51e814
5,55.467928496319665,False,,,6,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-40,1649217640,1.7894198894500732,15.52552604675293,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.52552604675293,0,6,0f51e814
6,60.094637223974765,False,,,7,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-42,1649217642,1.7629170417785645,17.288443088531494,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.288443088531494,0,7,0f51e814
7,55.941114616193474,False,,,8,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-44,1649217644,1.6255302429199219,18.913973331451416,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.913973331451416,0,8,0f51e814
8,58.25446898002104,False,,,9,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-47,1649217647,1.6961305141448975,20.610103845596313,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.610103845596313,0,9,0f51e814
9,58.09674027339643,False,,,10,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-49,1649217649,1.779115915298462,22.389219760894775,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.389219760894775,0,10,0f51e814
10,61.461619348054676,False,,,11,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-51,1649217651,1.7734317779541016,24.162651538848877,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.162651538848877,0,11,0f51e814
11,62.77602523659306,False,,,12,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-53,1649217653,1.7754666805267334,25.93811821937561,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.93811821937561,0,12,0f51e814
12,64.931650893796,False,,,13,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-55,1649217655,1.4304640293121338,27.368582248687744,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.368582248687744,0,13,0f51e814
13,62.35541535226078,False,,,14,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-56,1649217656,0.6819491386413574,28.0505313873291,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.0505313873291,0,14,0f51e814
14,62.88117770767613,False,,,15,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-58,1649217658,0.6872591972351074,28.73779058456421,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.73779058456421,0,15,0f51e814
15,63.82754994742377,False,,,16,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-00-59,1649217659,0.6752195358276367,29.413010120391846,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.413010120391846,0,16,0f51e814
16,67.2975814931651,False,,,17,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-01,1649217661,0.6921095848083496,30.105119705200195,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.105119705200195,0,17,0f51e814
17,69.66351209253418,False,,,18,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-02,1649217662,0.696054220199585,30.80117392539978,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.80117392539978,0,18,0f51e814
18,68.92744479495269,False,,,19,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-04,1649217664,0.6800251007080078,31.481199026107788,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.481199026107788,0,19,0f51e814
19,66.14090431125132,False,,,20,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-05,1649217665,0.6711187362670898,32.15231776237488,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.15231776237488,0,20,0f51e814
20,65.0893796004206,False,,,21,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-06,1649217666,0.689946174621582,32.84226393699646,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.84226393699646,0,21,0f51e814
21,67.56046267087277,False,,,22,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-07,1649217667,0.6814188957214355,33.523682832717896,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.523682832717896,0,22,0f51e814
22,64.87907465825447,False,,,23,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-09,1649217669,0.7015993595123291,34.225282192230225,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.225282192230225,0,23,0f51e814
23,69.92639327024185,False,,,24,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-10,1649217670,0.6921327114105225,34.91741490364075,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.91741490364075,0,24,0f51e814
24,68.98002103049421,False,,,25,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-11,1649217671,0.7029826641082764,35.62039756774902,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.62039756774902,0,25,0f51e814
25,66.03575184016825,False,,,26,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-12,1649217672,0.6927952766418457,36.31319284439087,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.31319284439087,0,26,0f51e814
26,64.72134595162986,False,,,27,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-14,1649217674,0.7048380374908447,37.018030881881714,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.018030881881714,0,27,0f51e814
27,63.8801261829653,False,,,28,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-16,1649217676,0.69053053855896,37.708561420440674,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.708561420440674,0,28,0f51e814
28,65.8254468980021,False,,,29,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-18,1649217678,0.6936659812927246,38.4022274017334,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.4022274017334,0,29,0f51e814
29,67.92849631966351,False,,,30,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-19,1649217679,0.684168815612793,39.08639621734619,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.08639621734619,0,30,0f51e814
30,68.76971608832808,False,,,31,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-20,1649217680,0.6831274032592773,39.76952362060547,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.76952362060547,0,31,0f51e814
31,68.40168243953732,False,,,32,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-22,1649217682,0.6907424926757812,40.46026611328125,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.46026611328125,0,32,0f51e814
32,67.50788643533123,False,,,33,0f0ad8c047394857be9971247ffba5de,2022-04-06_04-01-23,1649217683,0.6933009624481201,41.15356707572937,90187,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.15356707572937,0,33,0f51e814
