epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,50.63091482649842,False,,,1,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-03,1649218083,7.520111560821533,7.520111560821533,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.520111560821533,0,1,1ff3ded7
1,53.47003154574133,False,,,2,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-05,1649218085,1.789247989654541,9.309359550476074,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.309359550476074,0,2,1ff3ded7
2,53.20715036803365,False,,,3,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-07,1649218087,1.7677743434906006,11.077133893966675,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.077133893966675,0,3,1ff3ded7
3,62.407991587802314,False,,,4,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-12,1649218092,1.621903896331787,12.699037790298462,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.699037790298462,0,4,1ff3ded7
4,67.24500525762356,False,,,5,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-14,1649218094,1.7524356842041016,14.451473474502563,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.451473474502563,0,5,1ff3ded7
5,53.154574132492115,False,,,6,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-16,1649218096,1.713932752609253,16.165406227111816,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.165406227111816,0,6,1ff3ded7
6,57.67613038906414,False,,,7,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-18,1649218098,1.7664222717285156,17.931828498840332,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.931828498840332,0,7,1ff3ded7
7,75.18401682439537,False,,,8,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-19,1649218099,1.7790462970733643,19.710874795913696,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.710874795913696,0,8,1ff3ded7
8,72.39747634069401,False,,,9,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-21,1649218101,1.7738807201385498,21.484755516052246,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.484755516052246,0,9,1ff3ded7
9,78.70662460567823,False,,,10,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-23,1649218103,1.7637453079223633,23.24850082397461,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.24850082397461,0,10,1ff3ded7
10,56.57202944269191,False,,,11,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-25,1649218105,1.7681725025177002,25.01667332649231,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.01667332649231,0,11,1ff3ded7
11,72.87066246056783,False,,,12,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-27,1649218107,1.787095546722412,26.80376887321472,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.80376887321472,0,12,1ff3ded7
12,77.18191377497371,False,,,13,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-28,1649218108,1.7529535293579102,28.556722402572632,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.556722402572632,0,13,1ff3ded7
13,84.06940063091483,False,,,14,c1d67a4754924abe83da0a8f7e61f32d,2022-04-06_04-08-30,1649218110,1.763659954071045,30.320382356643677,90174,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.320382356643677,0,14,1ff3ded7
