epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,52.99684542586751,False,,,1,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-29-54,1649219394,5.825385093688965,5.825385093688965,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.825385093688965,0,1,2c33e7b7
1,53.154574132492115,False,,,2,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-29-55,1649219395,0.7052216529846191,6.530606746673584,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.530606746673584,0,2,2c33e7b7
2,53.10199789695058,False,,,3,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-29-56,1649219396,0.6645407676696777,7.195147514343262,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.195147514343262,0,3,2c33e7b7
3,53.10199789695058,False,,,4,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-29-56,1649219396,0.6838734149932861,7.879020929336548,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.879020929336548,0,4,2c33e7b7
4,53.10199789695058,False,,,5,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-29-57,1649219397,0.69580078125,8.574821710586548,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.574821710586548,0,5,2c33e7b7
5,72.87066246056783,False,,,6,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-29-58,1649219398,0.6897716522216797,9.264593362808228,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.264593362808228,0,6,2c33e7b7
6,70.82018927444796,False,,,7,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-29-59,1649219399,0.7362701892852783,10.000863552093506,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.000863552093506,0,7,2c33e7b7
7,82.49211356466877,False,,,8,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-29-59,1649219399,0.6625826358795166,10.663446187973022,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.663446187973022,0,8,2c33e7b7
8,60.304942166140904,False,,,9,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-30-00,1649219400,0.6451056003570557,11.308551788330078,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.308551788330078,0,9,2c33e7b7
9,53.10199789695058,False,,,10,e251e54a627449a6be1fdce26c0d1dd8,2022-04-06_04-30-01,1649219401,0.7028193473815918,12.01137113571167,90167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.01137113571167,0,10,2c33e7b7
