epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,42.63932702418507,False,,,1,d296f733660a4114902a64876c97a558,2022-04-06_04-22-44,1649218964,4.314606666564941,4.314606666564941,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.314606666564941,0,1,2e15eb99
1,53.20715036803365,False,,,2,d296f733660a4114902a64876c97a558,2022-04-06_04-22-47,1649218967,0.7166798114776611,5.0312864780426025,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.0312864780426025,0,2,2e15eb99
2,53.25972660357519,False,,,3,d296f733660a4114902a64876c97a558,2022-04-06_04-22-48,1649218968,0.6695449352264404,5.700831413269043,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.700831413269043,0,3,2e15eb99
3,53.154574132492115,False,,,4,d296f733660a4114902a64876c97a558,2022-04-06_04-22-48,1649218968,0.6874923706054688,6.388323783874512,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.388323783874512,0,4,2e15eb99
4,53.10199789695058,False,,,5,d296f733660a4114902a64876c97a558,2022-04-06_04-22-49,1649218969,0.6976978778839111,7.086021661758423,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.086021661758423,0,5,2e15eb99
5,53.10199789695058,False,,,6,d296f733660a4114902a64876c97a558,2022-04-06_04-22-50,1649218970,0.689141035079956,7.775162696838379,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.775162696838379,0,6,2e15eb99
6,53.10199789695058,False,,,7,d296f733660a4114902a64876c97a558,2022-04-06_04-22-51,1649218971,0.7046942710876465,8.479856967926025,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.479856967926025,0,7,2e15eb99
7,53.10199789695058,False,,,8,d296f733660a4114902a64876c97a558,2022-04-06_04-22-51,1649218971,0.6733829975128174,9.153239965438843,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.153239965438843,0,8,2e15eb99
8,53.10199789695058,False,,,9,d296f733660a4114902a64876c97a558,2022-04-06_04-22-52,1649218972,0.6793384552001953,9.832578420639038,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.832578420639038,0,9,2e15eb99
9,53.10199789695058,False,,,10,d296f733660a4114902a64876c97a558,2022-04-06_04-22-53,1649218973,0.6754412651062012,10.50801968574524,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.50801968574524,0,10,2e15eb99
10,53.10199789695058,False,,,11,d296f733660a4114902a64876c97a558,2022-04-06_04-22-53,1649218973,0.6838779449462891,11.191897630691528,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.191897630691528,0,11,2e15eb99
11,53.10199789695058,False,,,12,d296f733660a4114902a64876c97a558,2022-04-06_04-22-54,1649218974,0.6686787605285645,11.860576391220093,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.860576391220093,0,12,2e15eb99
12,53.10199789695058,False,,,13,d296f733660a4114902a64876c97a558,2022-04-06_04-22-55,1649218975,0.6664443016052246,12.527020692825317,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.527020692825317,0,13,2e15eb99
13,53.10199789695058,False,,,14,d296f733660a4114902a64876c97a558,2022-04-06_04-22-55,1649218975,0.6781413555145264,13.205162048339844,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.205162048339844,0,14,2e15eb99
14,53.10199789695058,False,,,15,d296f733660a4114902a64876c97a558,2022-04-06_04-22-56,1649218976,0.6635885238647461,13.86875057220459,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.86875057220459,0,15,2e15eb99
15,53.10199789695058,False,,,16,d296f733660a4114902a64876c97a558,2022-04-06_04-22-57,1649218977,0.6773531436920166,14.546103715896606,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.546103715896606,0,16,2e15eb99
16,53.10199789695058,False,,,17,d296f733660a4114902a64876c97a558,2022-04-06_04-22-58,1649218978,0.6687452793121338,15.21484899520874,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.21484899520874,0,17,2e15eb99
17,53.10199789695058,False,,,18,d296f733660a4114902a64876c97a558,2022-04-06_04-22-58,1649218978,0.6671867370605469,15.882035732269287,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.882035732269287,0,18,2e15eb99
18,53.10199789695058,False,,,19,d296f733660a4114902a64876c97a558,2022-04-06_04-22-59,1649218979,0.680687427520752,16.56272315979004,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.56272315979004,0,19,2e15eb99
19,53.10199789695058,False,,,20,d296f733660a4114902a64876c97a558,2022-04-06_04-23-00,1649218980,0.6882808208465576,17.251003980636597,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.251003980636597,0,20,2e15eb99
20,53.10199789695058,False,,,21,d296f733660a4114902a64876c97a558,2022-04-06_04-23-00,1649218980,0.6585595607757568,17.909563541412354,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.909563541412354,0,21,2e15eb99
21,53.10199789695058,False,,,22,d296f733660a4114902a64876c97a558,2022-04-06_04-23-01,1649218981,0.6727724075317383,18.582335948944092,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.582335948944092,0,22,2e15eb99
22,53.10199789695058,False,,,23,d296f733660a4114902a64876c97a558,2022-04-06_04-23-02,1649218982,0.6770405769348145,19.259376525878906,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.259376525878906,0,23,2e15eb99
23,53.10199789695058,False,,,24,d296f733660a4114902a64876c97a558,2022-04-06_04-23-03,1649218983,0.6519041061401367,19.911280632019043,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.911280632019043,0,24,2e15eb99
24,53.31230283911672,False,,,25,d296f733660a4114902a64876c97a558,2022-04-06_04-23-03,1649218983,0.6670582294464111,20.578338861465454,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.578338861465454,0,25,2e15eb99
25,53.575184016824394,False,,,26,d296f733660a4114902a64876c97a558,2022-04-06_04-23-04,1649218984,0.654796838760376,21.23313570022583,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.23313570022583,0,26,2e15eb99
26,53.732912723449,False,,,27,d296f733660a4114902a64876c97a558,2022-04-06_04-23-05,1649218985,0.6600406169891357,21.893176317214966,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.893176317214966,0,27,2e15eb99
27,54.78443743427971,False,,,28,d296f733660a4114902a64876c97a558,2022-04-06_04-23-05,1649218985,0.6588506698608398,22.552026987075806,90182,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.552026987075806,0,28,2e15eb99
