epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.52260778128286,False,,,1,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-22-59,1649218979,8.008349895477295,8.008349895477295,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.008349895477295,0,1,3232af22
1,58.569926393270244,False,,,2,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-23-00,1649218980,1.786447525024414,9.794797420501709,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.794797420501709,0,2,3232af22
2,74.81598317560463,False,,,3,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-23-02,1649218982,1.7435522079467773,11.538349628448486,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.538349628448486,0,3,3232af22
3,58.67507886435332,False,,,4,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-23-04,1649218984,1.7814173698425293,13.319766998291016,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.319766998291016,0,4,3232af22
4,54.10094637223975,False,,,5,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-23-06,1649218986,1.76613450050354,15.085901498794556,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.085901498794556,0,5,3232af22
5,65.45741324921136,False,,,6,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-23-07,1649218987,1.7753071784973145,16.86120867729187,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.86120867729187,0,6,3232af22
6,66.45636172450052,False,,,7,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-23-09,1649218989,1.7825441360473633,18.643752813339233,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.643752813339233,0,7,3232af22
7,65.77287066246058,False,,,8,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-23-11,1649218991,1.779128074645996,20.42288088798523,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.42288088798523,0,8,3232af22
8,67.13985278654049,False,,,9,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-23-13,1649218993,1.6821086406707764,22.104989528656006,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.104989528656006,0,9,3232af22
9,72.92323869610937,False,,,10,94238d84befd4f58af7ecc25f1669c07,2022-04-06_04-23-15,1649218995,1.7698523998260498,23.874841928482056,90195,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.874841928482056,0,10,3232af22
