epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,69.5583596214511,False,,,1,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-24,1649216844,4.238918781280518,4.238918781280518,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.238918781280518,0,1,3cd6efe3
1,67.71819137749738,False,,,2,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-25,1649216845,0.7122645378112793,4.951183319091797,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.951183319091797,0,2,3cd6efe3
2,53.47003154574133,False,,,3,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-26,1649216846,0.6925196647644043,5.643702983856201,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.643702983856201,0,3,3cd6efe3
3,67.03470031545741,False,,,4,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-27,1649216847,0.6795399188995361,6.323242902755737,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.323242902755737,0,4,3cd6efe3
4,60.19978969505784,False,,,5,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-27,1649216847,0.6723921298980713,6.995635032653809,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.995635032653809,0,5,3cd6efe3
5,73.34384858044164,False,,,6,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-28,1649216848,0.6742401123046875,7.669875144958496,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.669875144958496,0,6,3cd6efe3
6,59.884332281808625,False,,,7,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-29,1649216849,0.6926639080047607,8.362539052963257,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.362539052963257,0,7,3cd6efe3
7,53.52260778128286,False,,,8,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-30,1649216850,0.7046022415161133,9.06714129447937,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.06714129447937,0,8,3cd6efe3
8,53.25972660357519,False,,,9,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-30,1649216850,0.6792433261871338,9.746384620666504,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.746384620666504,0,9,3cd6efe3
9,58.67507886435332,False,,,10,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-31,1649216851,0.6866104602813721,10.432995080947876,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.432995080947876,0,10,3cd6efe3
10,64.30073606729758,False,,,11,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-32,1649216852,0.6673333644866943,11.10032844543457,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.10032844543457,0,11,3cd6efe3
11,61.88222923238696,False,,,12,e172deb20491421fae99b60bcc7a402c,2022-04-06_03-47-32,1649216852,0.6802387237548828,11.780567169189453,90205,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.780567169189453,0,12,3cd6efe3
