epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,81fba25d6098461d883691cb8b06b384,2022-04-06_03-40-52,1649216452,6.334087371826172,6.334087371826172,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.334087371826172,0,1,535eb56b
1,52.944269190325976,False,,,2,81fba25d6098461d883691cb8b06b384,2022-04-06_03-40-53,1649216453,1.7804913520812988,8.11457872390747,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.11457872390747,0,2,535eb56b
2,52.733964248159836,False,,,3,81fba25d6098461d883691cb8b06b384,2022-04-06_03-40-55,1649216455,1.796292781829834,9.910871505737305,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.910871505737305,0,3,535eb56b
3,52.15562565720294,False,,,4,81fba25d6098461d883691cb8b06b384,2022-04-06_03-40-57,1649216457,1.721289873123169,11.632161378860474,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.632161378860474,0,4,535eb56b
4,52.78654048370137,False,,,5,81fba25d6098461d883691cb8b06b384,2022-04-06_03-40-59,1649216459,1.657700538635254,13.289861917495728,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.289861917495728,0,5,535eb56b
5,50.736067297581485,False,,,6,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-00,1649216460,1.7383599281311035,15.028221845626831,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.028221845626831,0,6,535eb56b
6,50.315457413249206,False,,,7,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-02,1649216462,1.7875728607177734,16.815794706344604,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.815794706344604,0,7,535eb56b
7,46.89800210304942,False,,,8,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-04,1649216464,1.7276360988616943,18.5434308052063,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.5434308052063,0,8,535eb56b
8,46.37223974763407,False,,,9,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-06,1649216466,1.767303228378296,20.310734033584595,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.310734033584595,0,9,535eb56b
9,57.99158780231335,False,,,10,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-08,1649216468,1.779113531112671,22.089847564697266,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.089847564697266,0,10,535eb56b
10,73.81703470031546,False,,,11,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-09,1649216469,1.7764487266540527,23.86629629135132,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.86629629135132,0,11,535eb56b
11,53.154574132492115,False,,,12,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-14,1649216474,0.6648352146148682,24.531131505966187,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.531131505966187,0,12,535eb56b
12,47.58149316508938,False,,,13,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-14,1649216474,0.6624636650085449,25.19359517097473,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.19359517097473,0,13,535eb56b
13,46.845425867507885,False,,,14,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-15,1649216475,0.6545567512512207,25.848151922225952,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.848151922225952,0,14,535eb56b
14,46.89800210304942,False,,,15,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-16,1649216476,0.6573224067687988,26.50547432899475,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.50547432899475,0,15,535eb56b
15,46.79284963196635,False,,,16,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-17,1649216477,0.6649169921875,27.17039132118225,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.17039132118225,0,16,535eb56b
16,53.10199789695058,False,,,17,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-18,1649216478,0.6553094387054443,27.825700759887695,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.825700759887695,0,17,535eb56b
17,57.57097791798107,False,,,18,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-18,1649216478,0.6641616821289062,28.4898624420166,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.4898624420166,0,18,535eb56b
18,47.47634069400631,False,,,19,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-19,1649216479,0.6545209884643555,29.144383430480957,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.144383430480957,0,19,535eb56b
19,56.83491062039958,False,,,20,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-20,1649216480,0.6458454132080078,29.790228843688965,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.790228843688965,0,20,535eb56b
20,62.67087276550999,False,,,21,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-20,1649216480,0.6566379070281982,30.446866750717163,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.446866750717163,0,21,535eb56b
21,50.63091482649842,False,,,22,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-21,1649216481,0.6689193248748779,31.11578607559204,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.11578607559204,0,22,535eb56b
22,53.154574132492115,False,,,23,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-22,1649216482,0.670985221862793,31.786771297454834,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.786771297454834,0,23,535eb56b
23,54.99474237644585,False,,,24,81fba25d6098461d883691cb8b06b384,2022-04-06_03-41-22,1649216482,0.661895751953125,32.44866704940796,90210,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.44866704940796,0,24,535eb56b
