epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-25,1649216485,6.542278289794922,6.542278289794922,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.542278289794922,0,1,65c5b7d4
1,53.10199789695058,False,,,2,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-27,1649216487,1.5496318340301514,8.091910123825073,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.091910123825073,0,2,65c5b7d4
2,46.89800210304942,False,,,3,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-28,1649216488,1.6289007663726807,9.720810890197754,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.720810890197754,0,3,65c5b7d4
3,46.89800210304942,False,,,4,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-30,1649216490,1.698765754699707,11.419576644897461,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.419576644897461,0,4,65c5b7d4
4,44.164037854889585,False,,,5,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-32,1649216492,1.8127813339233398,13.2323579788208,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.2323579788208,0,5,65c5b7d4
5,54.889589905362776,False,,,6,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-34,1649216494,1.7872061729431152,15.019564151763916,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.019564151763916,0,6,65c5b7d4
6,49.1062039957939,False,,,7,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-36,1649216496,1.6785509586334229,16.69811511039734,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.69811511039734,0,7,65c5b7d4
7,48.47528916929548,False,,,8,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-37,1649216497,1.7912161350250244,18.489331245422363,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.489331245422363,0,8,65c5b7d4
8,46.16193480546793,False,,,9,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-39,1649216499,1.174736499786377,19.66406774520874,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.66406774520874,0,9,65c5b7d4
9,47.52891692954784,False,,,10,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-40,1649216500,1.7075958251953125,21.371663570404053,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.371663570404053,0,10,65c5b7d4
10,46.16193480546793,False,,,11,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-42,1649216502,1.7835381031036377,23.15520167350769,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.15520167350769,0,11,65c5b7d4
11,50.94637223974764,False,,,12,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-47,1649216507,1.7987327575683594,24.95393443107605,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.95393443107605,0,12,65c5b7d4
12,51.7875920084122,False,,,13,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-49,1649216509,1.7833013534545898,26.73723578453064,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.73723578453064,0,13,65c5b7d4
13,58.30704521556257,False,,,14,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-50,1649216510,1.0257019996643066,27.762937784194946,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.762937784194946,0,14,65c5b7d4
14,53.31230283911672,False,,,15,3a39c680eef44a31a499fb81e022196b,2022-04-06_03-41-52,1649216512,1.797776699066162,29.56071448326111,90202,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.56071448326111,0,15,65c5b7d4
