epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.25972660357519,False,,,1,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-31,1649218651,7.693341493606567,7.693341493606567,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.693341493606567,0,1,6e523957
1,55.520504731861195,False,,,2,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-33,1649218653,1.7082374095916748,9.401578903198242,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.401578903198242,0,2,6e523957
2,67.98107255520505,False,,,3,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-35,1649218655,1.6520707607269287,11.053649663925171,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.053649663925171,0,3,6e523957
3,74.39537329127235,False,,,4,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-36,1649218656,1.6119093894958496,12.66555905342102,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.66555905342102,0,4,6e523957
4,59.305993690851736,False,,,5,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-38,1649218658,1.7632954120635986,14.42885446548462,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.42885446548462,0,5,6e523957
5,65.61514195583597,False,,,6,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-40,1649218660,1.8025016784667969,16.231356143951416,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.231356143951416,0,6,6e523957
6,53.575184016824394,False,,,7,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-42,1649218662,1.81203293800354,18.043389081954956,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.043389081954956,0,7,6e523957
7,59.20084121976866,False,,,8,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-44,1649218664,1.7915949821472168,19.834984064102173,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.834984064102173,0,8,6e523957
8,67.77076761303891,False,,,9,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-46,1649218666,1.787642240524292,21.622626304626465,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.622626304626465,0,9,6e523957
9,76.49842271293376,False,,,10,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-47,1649218667,1.7873115539550781,23.409937858581543,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.409937858581543,0,10,6e523957
10,69.50578338590957,False,,,11,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-17-50,1649218670,1.7673635482788086,25.17730140686035,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.17730140686035,0,11,6e523957
11,63.03890641430073,False,,,12,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-00,1649218680,1.6029260158538818,26.780227422714233,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.780227422714233,0,12,6e523957
12,67.71819137749738,False,,,13,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-02,1649218682,1.543848991394043,28.324076414108276,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.324076414108276,0,13,6e523957
13,63.8801261829653,False,,,14,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-04,1649218684,1.7827258110046387,30.106802225112915,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.106802225112915,0,14,6e523957
14,71.29337539432177,False,,,15,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-05,1649218685,1.77030348777771,31.877105712890625,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.877105712890625,0,15,6e523957
15,71.81913774973711,False,,,16,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-07,1649218687,1.7730121612548828,33.65011787414551,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.65011787414551,0,16,6e523957
16,77.60252365930599,False,,,17,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-09,1649218689,1.7920043468475342,35.44212222099304,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.44212222099304,0,17,6e523957
17,77.44479495268138,False,,,18,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-11,1649218691,1.778766393661499,37.22088861465454,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.22088861465454,0,18,6e523957
18,76.39327024185069,False,,,19,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-13,1649218693,1.7799289226531982,39.00081753730774,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.00081753730774,0,19,6e523957
19,78.70662460567823,False,,,20,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-14,1649218694,1.788820743560791,40.78963828086853,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.78963828086853,0,20,6e523957
20,70.87276550998949,False,,,21,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-16,1649218696,1.831235647201538,42.62087392807007,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.62087392807007,0,21,6e523957
21,76.13038906414302,False,,,22,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-18,1649218698,1.7727458477020264,44.393619775772095,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.393619775772095,0,22,6e523957
22,75.8149316508938,False,,,23,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-20,1649218700,1.7737517356872559,46.16737151145935,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.16737151145935,0,23,6e523957
23,76.49842271293376,False,,,24,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-21,1649218701,1.7805700302124023,47.94794154167175,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,47.94794154167175,0,24,6e523957
24,76.49842271293376,False,,,25,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-23,1649218703,1.7689573764801025,49.716898918151855,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.716898918151855,0,25,6e523957
25,72.60778128286015,False,,,26,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-25,1649218705,1.7723686695098877,51.48926758766174,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.48926758766174,0,26,6e523957
26,71.29337539432177,False,,,27,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-27,1649218707,1.7617757320404053,53.25104331970215,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,53.25104331970215,0,27,6e523957
27,73.02839116719242,False,,,28,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-29,1649218709,1.7719526290893555,55.022995948791504,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,55.022995948791504,0,28,6e523957
28,75.86750788643532,False,,,29,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-30,1649218710,1.7744507789611816,56.797446727752686,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.797446727752686,0,29,6e523957
29,75.13144058885383,False,,,30,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-32,1649218712,1.7845284938812256,58.58197522163391,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,58.58197522163391,0,30,6e523957
30,73.1335436382755,False,,,31,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-34,1649218714,1.7807395458221436,60.362714767456055,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,60.362714767456055,0,31,6e523957
31,75.92008412197687,False,,,32,4bf00553d5e64168b35bb9b1c5bedfbd,2022-04-06_04-18-36,1649218716,1.7705199718475342,62.13323473930359,90173,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,62.13323473930359,0,32,6e523957
