epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.25972660357519,False,,,1,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-52,1649216932,4.900041103363037,4.900041103363037,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.900041103363037,0,1,7151fef4
1,53.41745531019979,False,,,2,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-53,1649216933,0.7035703659057617,5.603611469268799,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.603611469268799,0,2,7151fef4
2,53.41745531019979,False,,,3,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-54,1649216934,0.6934738159179688,6.297085285186768,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.297085285186768,0,3,7151fef4
3,53.154574132492115,False,,,4,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-54,1649216934,0.6703708171844482,6.967456102371216,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.967456102371216,0,4,7151fef4
4,56.62460567823344,False,,,5,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-55,1649216935,0.674919843673706,7.642375946044922,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.642375946044922,0,5,7151fef4
5,56.30914826498423,False,,,6,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-56,1649216936,0.6742198467254639,8.316595792770386,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.316595792770386,0,6,7151fef4
6,53.52260778128286,False,,,7,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-57,1649216937,0.6842470169067383,9.000842809677124,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.000842809677124,0,7,7151fef4
7,56.72975814931651,False,,,8,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-57,1649216937,0.6765332221984863,9.67737603187561,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.67737603187561,0,8,7151fef4
8,53.20715036803365,False,,,9,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-58,1649216938,0.6782522201538086,10.355628252029419,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.355628252029419,0,9,7151fef4
9,53.10199789695058,False,,,10,4cd58ad91e1c4c8f9ffc4260f6195785,2022-04-06_03-48-59,1649216939,0.6749978065490723,11.030626058578491,90188,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.030626058578491,0,10,7151fef4
