epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,60.98843322818086,False,,,1,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-41-55,1649216515,5.225595712661743,5.225595712661743,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.225595712661743,0,1,78c1fbca
1,53.10199789695058,False,,,2,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-41-56,1649216516,0.7734053134918213,5.9990010261535645,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.9990010261535645,0,2,78c1fbca
2,46.68769716088328,False,,,3,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-41-57,1649216517,0.6791720390319824,6.678173065185547,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.678173065185547,0,3,78c1fbca
3,53.41745531019979,False,,,4,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-41-58,1649216518,0.6728217601776123,7.350994825363159,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.350994825363159,0,4,78c1fbca
4,53.995793901156674,False,,,5,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-41-59,1649216519,0.692875862121582,8.043870687484741,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.043870687484741,0,5,78c1fbca
5,49.63196635120926,False,,,6,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-41-59,1649216519,0.7557644844055176,8.799635171890259,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.799635171890259,0,6,78c1fbca
6,47.1608832807571,False,,,7,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-00,1649216520,0.667773962020874,9.467409133911133,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.467409133911133,0,7,78c1fbca
7,51.15667718191378,False,,,8,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-01,1649216521,0.6905293464660645,10.157938480377197,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.157938480377197,0,8,78c1fbca
8,43.48054679284964,False,,,9,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-02,1649216522,0.7589690685272217,10.916907548904419,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.916907548904419,0,9,78c1fbca
9,56.94006309148265,False,,,10,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-03,1649216523,1.7777011394500732,12.694608688354492,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.694608688354492,0,10,78c1fbca
10,41.95583596214511,False,,,11,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-04,1649216524,0.7046382427215576,13.39924693107605,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.39924693107605,0,11,78c1fbca
11,46.89800210304942,False,,,12,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-06,1649216526,1.734443187713623,15.133690118789673,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.133690118789673,0,12,78c1fbca
12,43.79600420609884,False,,,13,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-08,1649216528,1.7710444927215576,16.90473461151123,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.90473461151123,0,13,78c1fbca
13,54.31125131440589,False,,,14,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-10,1649216530,1.7504053115844727,18.655139923095703,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.655139923095703,0,14,78c1fbca
14,48.47528916929548,False,,,15,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-11,1649216531,1.6691246032714844,20.324264526367188,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.324264526367188,0,15,78c1fbca
15,61.82965299684543,False,,,16,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-13,1649216533,1.7777345180511475,22.101999044418335,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.101999044418335,0,16,78c1fbca
16,60.19978969505784,False,,,17,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-15,1649216535,1.7671098709106445,23.86910891532898,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.86910891532898,0,17,78c1fbca
17,76.07781282860148,False,,,18,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-17,1649216537,1.7924821376800537,25.661591053009033,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.661591053009033,0,18,78c1fbca
18,44.952681388012614,False,,,19,cd88dc755c504ddab8ff124d645877cb,2022-04-06_03-42-19,1649216539,1.7726445198059082,27.43423557281494,90189,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.43423557281494,0,19,78c1fbca
