epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-11,1649218691,7.916282415390015,7.916282415390015,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.916282415390015,0,1,84ea1021
1,53.10199789695058,False,,,2,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-13,1649218693,1.7875235080718994,9.703805923461914,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.703805923461914,0,2,84ea1021
2,54.78443743427971,False,,,3,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-15,1649218695,1.7775883674621582,11.481394290924072,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.481394290924072,0,3,84ea1021
3,53.62776025236593,False,,,4,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-16,1649218696,1.7871544361114502,13.268548727035522,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.268548727035522,0,4,84ea1021
4,53.154574132492115,False,,,5,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-18,1649218698,1.7624578475952148,15.031006574630737,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.031006574630737,0,5,84ea1021
5,53.10199789695058,False,,,6,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-20,1649218700,1.770230770111084,16.80123734474182,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.80123734474182,0,6,84ea1021
6,53.10199789695058,False,,,7,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-22,1649218702,1.7925293445587158,18.593766689300537,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.593766689300537,0,7,84ea1021
7,60.72555205047318,False,,,8,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-24,1649218704,1.8045716285705566,20.398338317871094,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.398338317871094,0,8,84ea1021
8,64.87907465825447,False,,,9,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-25,1649218705,1.7838027477264404,22.182141065597534,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.182141065597534,0,9,84ea1021
9,61.14616193480546,False,,,10,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-27,1649218707,1.774860143661499,23.957001209259033,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.957001209259033,0,10,84ea1021
10,59.516298633017875,False,,,11,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-29,1649218709,1.7763171195983887,25.733318328857422,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.733318328857422,0,11,84ea1021
11,63.932702418506835,False,,,12,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-31,1649218711,1.7679357528686523,27.501254081726074,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.501254081726074,0,12,84ea1021
12,68.24395373291271,False,,,13,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-32,1649218712,1.773432970046997,29.27468705177307,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.27468705177307,0,13,84ea1021
13,71.55625657202944,False,,,14,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-34,1649218714,1.7671575546264648,31.041844606399536,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.041844606399536,0,14,84ea1021
14,56.15141955835961,False,,,15,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-36,1649218716,1.7715001106262207,32.81334471702576,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.81334471702576,0,15,84ea1021
15,63.1440588853838,False,,,16,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-38,1649218718,1.7707746028900146,34.58411931991577,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.58411931991577,0,16,84ea1021
16,60.304942166140904,False,,,17,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-40,1649218720,1.7697317600250244,36.353851079940796,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.353851079940796,0,17,84ea1021
17,63.932702418506835,False,,,18,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-41,1649218721,1.7716984748840332,38.12554955482483,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.12554955482483,0,18,84ea1021
18,55.678233438485805,False,,,19,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-43,1649218723,1.7723116874694824,39.89786124229431,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.89786124229431,0,19,84ea1021
19,58.51735015772871,False,,,20,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-45,1649218725,1.772402286529541,41.67026352882385,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.67026352882385,0,20,84ea1021
20,56.30914826498423,False,,,21,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-47,1649218727,1.778489351272583,43.448752880096436,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.448752880096436,0,21,84ea1021
21,71.66140904311251,False,,,22,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-48,1649218728,1.7770872116088867,45.22584009170532,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.22584009170532,0,22,84ea1021
22,73.76445846477392,False,,,23,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-50,1649218730,1.7708170413970947,46.99665713310242,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.99665713310242,0,23,84ea1021
23,67.13985278654049,False,,,24,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-52,1649218732,1.7713932991027832,48.7680504322052,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,48.7680504322052,0,24,84ea1021
24,76.8664563617245,False,,,25,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-54,1649218734,1.7811973094940186,50.54924774169922,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,50.54924774169922,0,25,84ea1021
25,75.86750788643532,False,,,26,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-56,1649218736,1.7885053157806396,52.33775305747986,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.33775305747986,0,26,84ea1021
26,76.07781282860148,False,,,27,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-57,1649218737,1.7864234447479248,54.12417650222778,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.12417650222778,0,27,84ea1021
27,77.18191377497371,False,,,28,5b80130e88d44eb585c5414e3bd6b062,2022-04-06_04-18-59,1649218739,1.7889885902404785,55.91316509246826,90178,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,55.91316509246826,0,28,84ea1021
