epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-27,1649216967,5.8114447593688965,5.8114447593688965,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.8114447593688965,0,1,868d6b8e
1,67.03470031545741,False,,,2,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-28,1649216968,1.75600266456604,7.5674474239349365,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.5674474239349365,0,2,868d6b8e
2,53.10199789695058,False,,,3,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-30,1649216970,1.7894341945648193,9.356881618499756,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.356881618499756,0,3,868d6b8e
3,53.995793901156674,False,,,4,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-32,1649216972,1.7589046955108643,11.11578631401062,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.11578631401062,0,4,868d6b8e
4,57.09779179810725,False,,,5,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-34,1649216974,1.8000497817993164,12.915836095809937,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.915836095809937,0,5,868d6b8e
5,58.99053627760252,False,,,6,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-36,1649216976,1.8137845993041992,14.729620695114136,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.729620695114136,0,6,868d6b8e
6,63.61724500525763,False,,,7,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-38,1649216978,1.8069324493408203,16.536553144454956,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.536553144454956,0,7,868d6b8e
7,56.36172450052577,False,,,8,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-40,1649216980,1.804950475692749,18.341503620147705,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.341503620147705,0,8,868d6b8e
8,59.67402733964248,False,,,9,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-42,1649216982,1.6772723197937012,20.018775939941406,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.018775939941406,0,9,868d6b8e
9,53.10199789695058,False,,,10,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-44,1649216984,1.8050377368927002,21.823813676834106,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.823813676834106,0,10,868d6b8e
10,53.10199789695058,False,,,11,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-46,1649216986,1.7990038394927979,23.622817516326904,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.622817516326904,0,11,868d6b8e
11,53.10199789695058,False,,,12,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-47,1649216987,1.8029944896697998,25.425812005996704,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.425812005996704,0,12,868d6b8e
12,83.80651945320714,False,,,13,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-49,1649216989,1.7989859580993652,27.22479796409607,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.22479796409607,0,13,868d6b8e
13,82.59726603575184,False,,,14,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-51,1649216991,1.7938106060028076,29.018608570098877,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.018608570098877,0,14,868d6b8e
14,67.71819137749738,False,,,15,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-53,1649216993,1.784182071685791,30.802790641784668,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.802790641784668,0,15,868d6b8e
15,67.77076761303891,False,,,16,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-55,1649216995,1.8315858840942383,32.634376525878906,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.634376525878906,0,16,868d6b8e
16,73.55415352260778,False,,,17,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-57,1649216997,1.7761509418487549,34.41052746772766,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.41052746772766,0,17,868d6b8e
17,73.23869610935857,False,,,18,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-49-59,1649216999,1.8001725673675537,36.210700035095215,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.210700035095215,0,18,868d6b8e
18,73.18611987381703,False,,,19,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-50-01,1649217001,1.8097808361053467,38.02048087120056,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.02048087120056,0,19,868d6b8e
19,54.04837013669821,False,,,20,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-50-03,1649217003,1.799633264541626,39.82011413574219,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.82011413574219,0,20,868d6b8e
20,53.10199789695058,False,,,21,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-50-05,1649217005,1.801192045211792,41.62130618095398,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.62130618095398,0,21,868d6b8e
21,53.154574132492115,False,,,22,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-50-07,1649217007,1.7820873260498047,43.403393507003784,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.403393507003784,0,22,868d6b8e
22,53.31230283911672,False,,,23,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-50-09,1649217009,1.4326066970825195,44.836000204086304,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.836000204086304,0,23,868d6b8e
23,55.36277602523659,False,,,24,e541935295ad4edbb1de7b3e11e844b8,2022-04-06_03-50-10,1649217010,1.775681734085083,46.61168193817139,90199,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.61168193817139,0,24,868d6b8e
