epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.25972660357519,False,,,1,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-32,1649218772,6.456083059310913,6.456083059310913,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.456083059310913,0,1,b400cdb9
1,53.68033648790747,False,,,2,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-33,1649218773,1.650442361831665,8.106525421142578,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.106525421142578,0,2,b400cdb9
2,72.76550998948476,False,,,3,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-35,1649218775,1.7958035469055176,9.902328968048096,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.902328968048096,0,3,b400cdb9
3,53.10199789695058,False,,,4,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-37,1649218777,1.796311616897583,11.698640584945679,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.698640584945679,0,4,b400cdb9
4,53.10199789695058,False,,,5,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-39,1649218779,1.8130123615264893,13.511652946472168,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.511652946472168,0,5,b400cdb9
5,53.10199789695058,False,,,6,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-41,1649218781,1.7954990863800049,15.307152032852173,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.307152032852173,0,6,b400cdb9
6,53.10199789695058,False,,,7,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-43,1649218783,1.8025102615356445,17.109662294387817,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.109662294387817,0,7,b400cdb9
7,53.364879074658255,False,,,8,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-44,1649218784,1.7940130233764648,18.903675317764282,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.903675317764282,0,8,b400cdb9
8,62.30283911671924,False,,,9,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-46,1649218786,1.8133115768432617,20.716986894607544,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.716986894607544,0,9,b400cdb9
9,69.03259726603575,False,,,10,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-48,1649218788,1.816413402557373,22.533400297164917,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.533400297164917,0,10,b400cdb9
10,69.71608832807571,False,,,11,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-50,1649218790,1.8145699501037598,24.347970247268677,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.347970247268677,0,11,b400cdb9
11,66.7192429022082,False,,,12,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-52,1649218792,1.6565830707550049,26.00455331802368,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.00455331802368,0,12,b400cdb9
12,62.9863301787592,False,,,13,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-53,1649218793,1.809093713760376,27.813647031784058,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.813647031784058,0,13,b400cdb9
13,64.72134595162986,False,,,14,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-55,1649218795,1.800699234008789,29.614346265792847,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.614346265792847,0,14,b400cdb9
14,53.31230283911672,False,,,15,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-57,1649218797,1.7968711853027344,31.41121745109558,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.41121745109558,0,15,b400cdb9
15,57.09779179810725,False,,,16,32d908c8c2c74f8fbfeb9c7ee6c8bb32,2022-04-06_04-19-59,1649218799,1.7836861610412598,33.19490361213684,90198,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.19490361213684,0,16,b400cdb9
