epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,60.98843322818086,False,,,1,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-50-49,1649217049,5.900908470153809,5.900908470153809,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.900908470153809,0,1,b65b33bb
1,53.68033648790747,False,,,2,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-50-51,1649217051,1.8064961433410645,7.707404613494873,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.707404613494873,0,2,b65b33bb
2,55.099894847528915,False,,,3,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-50-53,1649217053,1.796830654144287,9.50423526763916,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.50423526763916,0,3,b65b33bb
3,57.36067297581493,False,,,4,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-50-55,1649217055,1.823288917541504,11.327524185180664,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.327524185180664,0,4,b65b33bb
4,72.76550998948476,False,,,5,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-50-56,1649217056,1.7511706352233887,13.078694820404053,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.078694820404053,0,5,b65b33bb
5,84.80546792849631,False,,,6,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-50-58,1649217058,1.7856147289276123,14.864309549331665,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.864309549331665,0,6,b65b33bb
6,61.9348054679285,False,,,7,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-00,1649217060,1.7490379810333252,16.61334753036499,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.61334753036499,0,7,b65b33bb
7,69.03259726603575,False,,,8,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-02,1649217062,1.8161301612854004,18.42947769165039,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.42947769165039,0,8,b65b33bb
8,66.61409043112513,False,,,9,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-03,1649217063,1.6925792694091797,20.12205696105957,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.12205696105957,0,9,b65b33bb
9,79.75814931650895,False,,,10,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-05,1649217065,1.7593419551849365,21.881398916244507,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.881398916244507,0,10,b65b33bb
10,70.76761303890642,False,,,11,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-07,1649217067,1.7745459079742432,23.65594482421875,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.65594482421875,0,11,b65b33bb
11,70.97791798107255,False,,,12,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-09,1649217069,1.785153865814209,25.44109869003296,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.44109869003296,0,12,b65b33bb
12,70.50473186119874,False,,,13,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-11,1649217071,1.7776093482971191,27.218708038330078,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.218708038330078,0,13,b65b33bb
13,66.7192429022082,False,,,14,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-12,1649217072,1.7793333530426025,28.99804139137268,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.99804139137268,0,14,b65b33bb
14,80.07360672975815,False,,,15,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-14,1649217074,1.771730661392212,30.769772052764893,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.769772052764893,0,15,b65b33bb
15,77.54994742376445,False,,,16,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-16,1649217076,1.7692945003509521,32.539066553115845,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.539066553115845,0,16,b65b33bb
16,70.66246056782335,False,,,17,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-18,1649217078,1.755091905593872,34.29415845870972,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.29415845870972,0,17,b65b33bb
17,60.77812828601472,False,,,18,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-19,1649217079,1.761888027191162,36.05604648590088,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.05604648590088,0,18,b65b33bb
18,53.31230283911672,False,,,19,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-21,1649217081,1.7696740627288818,37.82572054862976,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.82572054862976,0,19,b65b33bb
19,61.61934805467929,False,,,20,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-23,1649217083,1.7604787349700928,39.58619928359985,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.58619928359985,0,20,b65b33bb
20,70.55730809674029,False,,,21,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-25,1649217085,1.7750811576843262,41.36128044128418,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.36128044128418,0,21,b65b33bb
21,66.77181913774973,False,,,22,30d4743b332a4cf3a2607b775cf33fd4,2022-04-06_03-51-26,1649217086,1.7249789237976074,43.08625936508179,90201,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.08625936508179,0,22,b65b33bb
