epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,66.24605678233438,False,,,1,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-43-53,1649216633,4.28118896484375,4.28118896484375,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.28118896484375,0,1,c1bfa3f4
1,53.89064143007361,False,,,2,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-43-54,1649216634,0.7389090061187744,5.020097970962524,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.020097970962524,0,2,c1bfa3f4
2,69.03259726603575,False,,,3,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-43-55,1649216635,0.7099356651306152,5.73003363609314,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.73003363609314,0,3,c1bfa3f4
3,67.6130389064143,False,,,4,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-43-56,1649216636,0.6854312419891357,6.415464878082275,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.415464878082275,0,4,c1bfa3f4
4,74.13249211356468,False,,,5,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-43-57,1649216637,0.7138769626617432,7.1293418407440186,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.1293418407440186,0,5,c1bfa3f4
5,78.18086225026289,False,,,6,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-43-58,1649216638,0.7083806991577148,7.837722539901733,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.837722539901733,0,6,c1bfa3f4
6,63.61724500525763,False,,,7,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-43-59,1649216639,0.7189748287200928,8.556697368621826,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.556697368621826,0,7,c1bfa3f4
7,53.10199789695058,False,,,8,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-44-00,1649216640,0.7042982578277588,9.260995626449585,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.260995626449585,0,8,c1bfa3f4
8,53.10199789695058,False,,,9,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-44-00,1649216640,0.6908297538757324,9.951825380325317,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.951825380325317,0,9,c1bfa3f4
9,53.25972660357519,False,,,10,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-44-01,1649216641,0.6954214572906494,10.647246837615967,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.647246837615967,0,10,c1bfa3f4
10,81.07255520504731,False,,,11,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-44-02,1649216642,0.6971826553344727,11.34442949295044,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.34442949295044,0,11,c1bfa3f4
11,83.38590956887487,False,,,12,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-44-03,1649216643,0.7061336040496826,12.050563097000122,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.050563097000122,0,12,c1bfa3f4
12,82.5446898002103,False,,,13,c48d9b1455c545b881b32ec26db974f4,2022-04-06_03-44-04,1649216644,0.6995127201080322,12.750075817108154,90191,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.750075817108154,0,13,c1bfa3f4
