epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-01,1649216221,3.1943540573120117,3.1943540573120117,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.1943540573120117,0,1,cdfbe44e
1,53.154574132492115,False,,,2,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-02,1649216222,0.7239212989807129,3.9182753562927246,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,3.9182753562927246,0,2,cdfbe44e
2,53.25972660357519,False,,,3,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-03,1649216223,0.7255239486694336,4.643799304962158,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.643799304962158,0,3,cdfbe44e
3,53.154574132492115,False,,,4,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-03,1649216223,0.7195043563842773,5.3633036613464355,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.3633036613464355,0,4,cdfbe44e
4,53.154574132492115,False,,,5,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-04,1649216224,0.7112305164337158,6.074534177780151,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.074534177780151,0,5,cdfbe44e
5,53.154574132492115,False,,,6,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-05,1649216225,0.7203917503356934,6.794925928115845,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.794925928115845,0,6,cdfbe44e
6,53.154574132492115,False,,,7,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-06,1649216226,0.7164185047149658,7.5113444328308105,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.5113444328308105,0,7,cdfbe44e
7,53.154574132492115,False,,,8,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-06,1649216226,0.707439661026001,8.218784093856812,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.218784093856812,0,8,cdfbe44e
8,53.154574132492115,False,,,9,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-07,1649216227,0.730872392654419,8.94965648651123,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.94965648651123,0,9,cdfbe44e
9,53.154574132492115,False,,,10,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-08,1649216228,0.7263519763946533,9.676008462905884,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.676008462905884,0,10,cdfbe44e
10,53.154574132492115,False,,,11,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-08,1649216228,0.7302854061126709,10.406293869018555,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.406293869018555,0,11,cdfbe44e
11,53.154574132492115,False,,,12,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-09,1649216229,0.7196297645568848,11.12592363357544,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.12592363357544,0,12,cdfbe44e
12,53.154574132492115,False,,,13,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-10,1649216230,0.7011938095092773,11.827117443084717,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.827117443084717,0,13,cdfbe44e
13,53.154574132492115,False,,,14,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-11,1649216231,0.7149224281311035,12.54203987121582,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.54203987121582,0,14,cdfbe44e
14,53.154574132492115,False,,,15,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-11,1649216231,0.7128446102142334,13.254884481430054,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.254884481430054,0,15,cdfbe44e
15,53.154574132492115,False,,,16,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-12,1649216232,0.7160062789916992,13.970890760421753,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.970890760421753,0,16,cdfbe44e
16,53.154574132492115,False,,,17,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-13,1649216233,0.7105941772460938,14.681484937667847,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.681484937667847,0,17,cdfbe44e
17,53.154574132492115,False,,,18,78bb47a959da49e9be484affb5a7708a,2022-04-06_03-37-13,1649216233,0.7114870548248291,15.392971992492676,90223,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.392971992492676,0,18,cdfbe44e
