epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,52.733964248159836,False,,,1,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-37-52,1649216272,4.4689624309539795,4.4689624309539795,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.4689624309539795,0,1,cea04d8d
1,44.21661409043113,False,,,2,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-37-54,1649216274,1.843085765838623,6.3120481967926025,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.3120481967926025,0,2,cea04d8d
2,53.25972660357519,False,,,3,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-37-57,1649216277,1.8196699619293213,8.131718158721924,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.131718158721924,0,3,cea04d8d
3,53.20715036803365,False,,,4,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-37-59,1649216279,1.8171679973602295,9.948886156082153,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.948886156082153,0,4,cea04d8d
4,54.41640378548895,False,,,5,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-00,1649216280,1.7873790264129639,11.736265182495117,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.736265182495117,0,5,cea04d8d
5,65.72029442691904,False,,,6,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-02,1649216282,1.8050904273986816,13.541355609893799,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.541355609893799,0,6,cea04d8d
6,72.29232386961093,False,,,7,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-04,1649216284,1.8068568706512451,15.348212480545044,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.348212480545044,0,7,cea04d8d
7,65.72029442691904,False,,,8,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-06,1649216286,1.8206710815429688,17.168883562088013,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.168883562088013,0,8,cea04d8d
8,76.70872765509989,False,,,9,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-08,1649216288,1.822089672088623,18.990973234176636,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.990973234176636,0,9,cea04d8d
9,69.61093585699264,False,,,10,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-09,1649216289,1.7846004962921143,20.77557373046875,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.77557373046875,0,10,cea04d8d
10,76.23554153522608,False,,,11,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-11,1649216291,1.811445713043213,22.587019443511963,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.587019443511963,0,11,cea04d8d
11,73.29127234490011,False,,,12,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-13,1649216293,1.8010375499725342,24.388056993484497,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.388056993484497,0,12,cea04d8d
12,53.20715036803365,False,,,13,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-15,1649216295,1.8038971424102783,26.191954135894775,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.191954135894775,0,13,cea04d8d
13,53.47003154574133,False,,,14,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-17,1649216297,1.7874581813812256,27.979412317276,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.979412317276,0,14,cea04d8d
14,55.310199789695055,False,,,15,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-18,1649216298,1.7955365180969238,29.774948835372925,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.774948835372925,0,15,cea04d8d
15,53.10199789695058,False,,,16,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-20,1649216300,1.8023526668548584,31.577301502227783,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.577301502227783,0,16,cea04d8d
16,53.10199789695058,False,,,17,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-22,1649216302,1.7770421504974365,33.35434365272522,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.35434365272522,0,17,cea04d8d
17,53.10199789695058,False,,,18,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-24,1649216304,1.7744848728179932,35.12882852554321,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.12882852554321,0,18,cea04d8d
18,53.10199789695058,False,,,19,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-26,1649216306,1.8004672527313232,36.929295778274536,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.929295778274536,0,19,cea04d8d
19,54.57413249211357,False,,,20,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-27,1649216307,1.8034031391143799,38.732698917388916,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.732698917388916,0,20,cea04d8d
20,65.8254468980021,False,,,21,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-29,1649216309,1.7956531047821045,40.52835202217102,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.52835202217102,0,21,cea04d8d
21,79.81072555205047,False,,,22,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-31,1649216311,1.8014953136444092,42.32984733581543,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.32984733581543,0,22,cea04d8d
22,72.18717139852787,False,,,23,e3e5a9fa8a234aaa93efbab904acc7db,2022-04-06_03-38-33,1649216313,1.8153619766235352,44.145209312438965,90217,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.145209312438965,0,23,cea04d8d
