epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,62.9863301787592,False,,,1,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-05-58,1649217958,5.673292636871338,5.673292636871338,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.673292636871338,0,1,d5d6dbff
1,65.72029442691904,False,,,2,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-05-59,1649217959,0.701392412185669,6.374685049057007,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.374685049057007,0,2,d5d6dbff
2,53.10199789695058,False,,,3,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-00,1649217960,0.7438619136810303,7.118546962738037,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.118546962738037,0,3,d5d6dbff
3,53.62776025236593,False,,,4,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-00,1649217960,0.6734161376953125,7.79196310043335,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.79196310043335,0,4,d5d6dbff
4,53.20715036803365,False,,,5,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-01,1649217961,0.6995835304260254,8.491546630859375,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.491546630859375,0,5,d5d6dbff
5,53.10199789695058,False,,,6,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-02,1649217962,0.6824078559875488,9.173954486846924,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.173954486846924,0,6,d5d6dbff
6,53.10199789695058,False,,,7,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-03,1649217963,0.7443773746490479,9.918331861495972,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.918331861495972,0,7,d5d6dbff
7,53.10199789695058,False,,,8,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-03,1649217963,0.6729846000671387,10.59131646156311,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.59131646156311,0,8,d5d6dbff
8,53.10199789695058,False,,,9,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-04,1649217964,0.7122700214385986,11.303586483001709,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.303586483001709,0,9,d5d6dbff
9,53.10199789695058,False,,,10,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-05,1649217965,1.0849783420562744,12.388564825057983,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.388564825057983,0,10,d5d6dbff
10,53.10199789695058,False,,,11,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-06,1649217966,0.6766886711120605,13.065253496170044,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.065253496170044,0,11,d5d6dbff
11,53.154574132492115,False,,,12,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-08,1649217968,1.4298641681671143,14.495117664337158,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.495117664337158,0,12,d5d6dbff
12,53.364879074658255,False,,,13,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-10,1649217970,1.7457032203674316,16.24082088470459,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.24082088470459,0,13,d5d6dbff
13,54.41640378548895,False,,,14,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-11,1649217971,1.7425668239593506,17.98338770866394,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.98338770866394,0,14,d5d6dbff
14,57.202944269190326,False,,,15,7ee87f20aafd4a42897819ef742c5db4,2022-04-06_04-06-13,1649217973,1.7603764533996582,19.7437641620636,90179,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.7437641620636,0,15,d5d6dbff
