epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,46.635120925341745,False,,,1,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-39,1649216679,5.782935619354248,5.782935619354248,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.782935619354248,0,1,daa8cb76
1,58.83280757097792,False,,,2,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-41,1649216681,1.7570772171020508,7.540012836456299,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.540012836456299,0,2,daa8cb76
2,64.03785488958991,False,,,3,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-42,1649216682,1.7730493545532227,9.313062191009521,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.313062191009521,0,3,daa8cb76
3,69.97896950578338,False,,,4,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-44,1649216684,1.7524278163909912,11.065490007400513,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.065490007400513,0,4,daa8cb76
4,70.97791798107255,False,,,5,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-46,1649216686,1.7555503845214844,12.821040391921997,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.821040391921997,0,5,daa8cb76
5,53.10199789695058,False,,,6,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-48,1649216688,1.7622425556182861,14.583282947540283,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.583282947540283,0,6,daa8cb76
6,53.31230283911672,False,,,7,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-49,1649216689,1.7633118629455566,16.34659481048584,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.34659481048584,0,7,daa8cb76
7,53.10199789695058,False,,,8,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-51,1649216691,1.7688846588134766,18.115479469299316,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.115479469299316,0,8,daa8cb76
8,53.154574132492115,False,,,9,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-53,1649216693,1.800058126449585,19.9155375957489,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.9155375957489,0,9,daa8cb76
9,53.10199789695058,False,,,10,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-55,1649216695,1.756385087966919,21.67192268371582,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.67192268371582,0,10,daa8cb76
10,53.10199789695058,False,,,11,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-57,1649216697,1.7557964324951172,23.427719116210938,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.427719116210938,0,11,daa8cb76
11,73.34384858044164,False,,,12,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-44-58,1649216698,1.7639601230621338,25.19167923927307,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.19167923927307,0,12,daa8cb76
12,60.094637223974765,False,,,13,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-45-00,1649216700,1.766770839691162,26.958450078964233,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.958450078964233,0,13,daa8cb76
13,53.785488958990534,False,,,14,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-45-02,1649216702,1.7452166080474854,28.70366668701172,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.70366668701172,0,14,daa8cb76
14,54.94216614090431,False,,,15,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-45-04,1649216704,1.7661757469177246,30.469842433929443,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.469842433929443,0,15,daa8cb76
15,59.358569926393265,False,,,16,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-45-05,1649216705,1.7466754913330078,32.21651792526245,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.21651792526245,0,16,daa8cb76
16,79.49526813880126,False,,,17,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-45-07,1649216707,1.7451601028442383,33.96167802810669,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.96167802810669,0,17,daa8cb76
17,81.44058885383807,False,,,18,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-45-09,1649216709,1.754889726638794,35.71656775474548,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.71656775474548,0,18,daa8cb76
18,84.12197686645636,False,,,19,6fb6abe876fa4866a4de3e79f49da933,2022-04-06_03-45-11,1649216711,1.7568557262420654,37.47342348098755,90203,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.47342348098755,0,19,daa8cb76
