epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-37-52,1649216272,4.542858123779297,4.542858123779297,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.542858123779297,0,1,eb74cd97
1,53.10199789695058,False,,,2,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-37-57,1649216277,1.800685167312622,6.343543291091919,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.343543291091919,0,2,eb74cd97
2,53.10199789695058,False,,,3,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-37-59,1649216279,1.7873005867004395,8.130843877792358,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.130843877792358,0,3,eb74cd97
3,53.10199789695058,False,,,4,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-38-00,1649216280,1.7948510646820068,9.925694942474365,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.925694942474365,0,4,eb74cd97
4,53.10199789695058,False,,,5,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-38-02,1649216282,1.7748520374298096,11.700546979904175,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.700546979904175,0,5,eb74cd97
5,53.10199789695058,False,,,6,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-38-04,1649216284,1.8069953918457031,13.507542371749878,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.507542371749878,0,6,eb74cd97
6,53.10199789695058,False,,,7,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-38-06,1649216286,1.7931971549987793,15.300739526748657,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.300739526748657,0,7,eb74cd97
7,53.10199789695058,False,,,8,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-38-08,1649216288,1.7698605060577393,17.070600032806396,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.070600032806396,0,8,eb74cd97
8,53.10199789695058,False,,,9,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-38-09,1649216289,1.7737457752227783,18.844345808029175,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.844345808029175,0,9,eb74cd97
9,53.10199789695058,False,,,10,9abb984f3f7f4cb6a18dddff5ec44e8e,2022-04-06_03-38-11,1649216291,1.7755451202392578,20.619890928268433,90212,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.619890928268433,0,10,eb74cd97
