epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,50.736067297581485,False,,,1,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-37-53,1649216273,4.5323426723480225,4.5323426723480225,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.5323426723480225,0,1,ebd11e42
1,41.95583596214511,False,,,2,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-37-57,1649216277,1.822587490081787,6.35493016242981,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.35493016242981,0,2,ebd11e42
2,55.41535226077813,False,,,3,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-37-59,1649216279,1.8414850234985352,8.196415185928345,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.196415185928345,0,3,ebd11e42
3,46.89800210304942,False,,,4,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-38-00,1649216280,1.8052504062652588,10.001665592193604,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.001665592193604,0,4,ebd11e42
4,53.10199789695058,False,,,5,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-38-02,1649216282,1.8309094905853271,11.83257508277893,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.83257508277893,0,5,ebd11e42
5,59.568874868559405,False,,,6,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-38-04,1649216284,1.814540147781372,13.647115230560303,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.647115230560303,0,6,ebd11e42
6,46.52996845425867,False,,,7,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-38-06,1649216286,1.8350954055786133,15.482210636138916,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.482210636138916,0,7,ebd11e42
7,53.10199789695058,False,,,8,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-38-08,1649216288,1.8098571300506592,17.292067766189575,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.292067766189575,0,8,ebd11e42
8,48.159831756046266,False,,,9,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-38-10,1649216290,1.8137035369873047,19.10577130317688,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.10577130317688,0,9,ebd11e42
9,67.50788643533123,False,,,10,e6a0ff0d3b63475aa0b4893d1f1c9d49,2022-04-06_03-38-11,1649216291,1.814485788345337,20.920257091522217,90209,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.920257091522217,0,10,ebd11e42
