epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,60.93585699263932,False,,,1,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-09,1649219289,7.284375905990601,7.284375905990601,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.284375905990601,0,1,ecbbc84b
1,60.62039957939012,False,,,2,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-11,1649219291,1.4655249118804932,8.749900817871094,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.749900817871094,0,2,ecbbc84b
2,53.47003154574133,False,,,3,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-12,1649219292,1.774043321609497,10.52394413948059,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.52394413948059,0,3,ecbbc84b
3,54.837013669821246,False,,,4,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-14,1649219294,1.7770533561706543,12.300997495651245,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.300997495651245,0,4,ecbbc84b
4,58.359621451104104,False,,,5,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-16,1649219296,1.7519378662109375,14.052935361862183,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.052935361862183,0,5,ecbbc84b
5,58.937960042060986,False,,,6,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-18,1649219298,1.7807281017303467,15.83366346359253,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.83366346359253,0,6,ecbbc84b
6,64.56361724500526,False,,,7,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-19,1649219299,1.7710902690887451,17.604753732681274,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.604753732681274,0,7,ecbbc84b
7,65.72029442691904,False,,,8,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-21,1649219301,1.7814621925354004,19.386215925216675,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.386215925216675,0,8,ecbbc84b
8,70.18927444794953,False,,,9,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-23,1649219303,1.7873213291168213,21.173537254333496,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.173537254333496,0,9,ecbbc84b
9,72.13459516298633,False,,,10,0da848aff8bd4fc5b2140da9725dbe72,2022-04-06_04-28-25,1649219305,1.7877728939056396,22.961310148239136,90143,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.961310148239136,0,10,ecbbc84b
