epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-30,1649217570,6.244662523269653,6.244662523269653,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.244662523269653,0,1,edf00350
1,58.09674027339643,False,,,2,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-31,1649217571,1.7793915271759033,8.024054050445557,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.024054050445557,0,2,edf00350
2,57.202944269190326,False,,,3,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-33,1649217573,1.774071216583252,9.798125267028809,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.798125267028809,0,3,edf00350
3,55.888538380651944,False,,,4,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-35,1649217575,1.6928153038024902,11.490940570831299,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.490940570831299,0,4,edf00350
4,53.47003154574133,False,,,5,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-37,1649217577,1.749380111694336,13.240320682525635,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.240320682525635,0,5,edf00350
5,53.154574132492115,False,,,6,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-39,1649217579,1.7570643424987793,14.997385025024414,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.997385025024414,0,6,edf00350
6,72.76550998948476,False,,,7,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-41,1649217581,1.7715134620666504,16.768898487091064,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.768898487091064,0,7,edf00350
7,76.49842271293376,False,,,8,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-43,1649217583,1.737609624862671,18.506508111953735,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.506508111953735,0,8,edf00350
8,79.02208201892745,False,,,9,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-45,1649217585,1.7599585056304932,20.26646661758423,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.26646661758423,0,9,edf00350
9,77.39221871713985,False,,,10,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-46,1649217586,1.7648797035217285,22.031346321105957,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.031346321105957,0,10,edf00350
10,77.44479495268138,False,,,11,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-48,1649217588,1.7660415172576904,23.797387838363647,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.797387838363647,0,11,edf00350
11,76.81388012618297,False,,,12,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-50,1649217590,1.7593376636505127,25.55672550201416,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.55672550201416,0,12,edf00350
12,79.28496319663512,False,,,13,7be3a0ba11954cb9b5e55fb3bc7ee2d3,2022-04-06_03-59-52,1649217592,1.7317116260528564,27.288437128067017,90183,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.288437128067017,0,13,edf00350
