epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-01,1649216281,4.5745689868927,4.5745689868927,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.5745689868927,0,1,f0546d79
1,53.10199789695058,False,,,2,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-03,1649216283,1.8078618049621582,6.382430791854858,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.382430791854858,0,2,f0546d79
2,53.10199789695058,False,,,3,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-05,1649216285,1.7872428894042969,8.169673681259155,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.169673681259155,0,3,f0546d79
3,53.10199789695058,False,,,4,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-07,1649216287,1.7915403842926025,9.961214065551758,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.961214065551758,0,4,f0546d79
4,53.10199789695058,False,,,5,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-08,1649216288,1.7778377532958984,11.739051818847656,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.739051818847656,0,5,f0546d79
5,53.10199789695058,False,,,6,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-10,1649216290,1.7955706119537354,13.534622430801392,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.534622430801392,0,6,f0546d79
6,53.10199789695058,False,,,7,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-12,1649216292,1.8159136772155762,15.350536108016968,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.350536108016968,0,7,f0546d79
7,53.10199789695058,False,,,8,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-14,1649216294,1.813572883605957,17.164108991622925,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.164108991622925,0,8,f0546d79
8,53.10199789695058,False,,,9,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-16,1649216296,1.8005123138427734,18.9646213054657,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.9646213054657,0,9,f0546d79
9,53.10199789695058,False,,,10,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-17,1649216297,1.819831132888794,20.784452438354492,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.784452438354492,0,10,f0546d79
10,53.10199789695058,False,,,11,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-19,1649216299,1.795907974243164,22.580360412597656,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.580360412597656,0,11,f0546d79
11,53.10199789695058,False,,,12,04ee22ecc188430e887b3991b9adaf5c,2022-04-06_03-38-21,1649216301,1.7733778953552246,24.35373830795288,90213,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.35373830795288,0,12,f0546d79
