epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,60.93585699263932,False,,,1,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-35,1649217575,4.2041566371917725,4.2041566371917725,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.2041566371917725,0,1,f285bf90
1,54.679284963196636,False,,,2,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-35,1649217575,0.6835582256317139,4.887714862823486,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.887714862823486,0,2,f285bf90
2,53.10199789695058,False,,,3,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-36,1649217576,0.6749699115753174,5.562684774398804,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.562684774398804,0,3,f285bf90
3,54.73186119873817,False,,,4,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-37,1649217577,0.6837413311004639,6.246426105499268,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.246426105499268,0,4,f285bf90
4,62.93375394321766,False,,,5,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-38,1649217578,0.6697056293487549,6.9161317348480225,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.9161317348480225,0,5,f285bf90
5,64.40588853838065,False,,,6,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-39,1649217579,0.6729421615600586,7.589073896408081,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.589073896408081,0,6,f285bf90
6,68.45425867507886,False,,,7,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-40,1649217580,0.6843664646148682,8.27344036102295,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.27344036102295,0,7,f285bf90
7,67.77076761303891,False,,,8,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-41,1649217581,0.6775152683258057,8.950955629348755,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.950955629348755,0,8,f285bf90
8,77.86540483701367,False,,,9,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-42,1649217582,0.6765937805175781,9.627549409866333,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.627549409866333,0,9,f285bf90
9,77.39221871713985,False,,,10,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-43,1649217583,0.6800627708435059,10.307612180709839,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.307612180709839,0,10,f285bf90
10,65.29968454258676,False,,,11,ea566e0edf9b47bb85f903f351de6372,2022-04-06_03-59-44,1649217584,0.6721713542938232,10.979783535003662,90194,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.979783535003662,0,11,f285bf90
