epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,61.40904311251314,False,,,1,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-17,1649219297,4.255850791931152,4.255850791931152,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.255850791931152,0,1,f3396e17
1,53.10199789695058,False,,,2,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-18,1649219298,0.7142453193664551,4.970096111297607,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.970096111297607,0,2,f3396e17
2,53.10199789695058,False,,,3,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-19,1649219299,0.6929101943969727,5.66300630569458,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.66300630569458,0,3,f3396e17
3,53.10199789695058,False,,,4,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-20,1649219300,0.6949493885040283,6.357955694198608,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.357955694198608,0,4,f3396e17
4,53.10199789695058,False,,,5,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-20,1649219300,0.7028396129608154,7.060795307159424,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.060795307159424,0,5,f3396e17
5,53.10199789695058,False,,,6,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-21,1649219301,0.7000479698181152,7.760843276977539,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.760843276977539,0,6,f3396e17
6,53.10199789695058,False,,,7,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-22,1649219302,0.7083721160888672,8.469215393066406,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.469215393066406,0,7,f3396e17
7,53.10199789695058,False,,,8,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-23,1649219303,0.7043561935424805,9.173571586608887,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.173571586608887,0,8,f3396e17
8,53.10199789695058,False,,,9,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-23,1649219303,0.6962804794311523,9.869852066040039,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.869852066040039,0,9,f3396e17
9,53.10199789695058,False,,,10,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-24,1649219304,0.7030999660491943,10.572952032089233,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.572952032089233,0,10,f3396e17
10,53.10199789695058,False,,,11,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-25,1649219305,0.7135603427886963,11.28651237487793,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.28651237487793,0,11,f3396e17
11,53.10199789695058,False,,,12,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-25,1649219305,0.697791337966919,11.984303712844849,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.984303712844849,0,12,f3396e17
12,53.10199789695058,False,,,13,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-26,1649219306,0.6888599395751953,12.673163652420044,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.673163652420044,0,13,f3396e17
13,53.10199789695058,False,,,14,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-27,1649219307,0.6996464729309082,13.372810125350952,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.372810125350952,0,14,f3396e17
14,53.10199789695058,False,,,15,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-28,1649219308,0.6998188495635986,14.07262897491455,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.07262897491455,0,15,f3396e17
15,53.20715036803365,False,,,16,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-28,1649219308,0.7059171199798584,14.77854609489441,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.77854609489441,0,16,f3396e17
16,53.25972660357519,False,,,17,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-29,1649219309,0.6928544044494629,15.471400499343872,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.471400499343872,0,17,f3396e17
17,53.785488958990534,False,,,18,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-30,1649219310,0.7029907703399658,16.174391269683838,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.174391269683838,0,18,f3396e17
18,54.31125131440589,False,,,19,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-30,1649219310,0.7065896987915039,16.880980968475342,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.880980968475342,0,19,f3396e17
19,54.363827549947416,False,,,20,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-31,1649219311,0.6967639923095703,17.577744960784912,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.577744960784912,0,20,f3396e17
20,54.25867507886435,False,,,21,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-32,1649219312,0.6898610591888428,18.267606019973755,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.267606019973755,0,21,f3396e17
21,54.837013669821246,False,,,22,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-32,1649219312,0.6972005367279053,18.96480655670166,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.96480655670166,0,22,f3396e17
22,56.15141955835961,False,,,23,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-33,1649219313,0.6841132640838623,19.648919820785522,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.648919820785522,0,23,f3396e17
23,56.94006309148265,False,,,24,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-34,1649219314,0.6990547180175781,20.3479745388031,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.3479745388031,0,24,f3396e17
24,58.149316508937964,False,,,25,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-35,1649219315,0.6933887004852295,21.04136323928833,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.04136323928833,0,25,f3396e17
25,58.62250262881178,False,,,26,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-35,1649219315,0.6736743450164795,21.71503758430481,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.71503758430481,0,26,f3396e17
26,59.148264984227126,False,,,27,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-36,1649219316,0.6928699016571045,22.407907485961914,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.407907485961914,0,27,f3396e17
27,59.46372239747634,False,,,28,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-37,1649219317,0.6965293884277344,23.10443687438965,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.10443687438965,0,28,f3396e17
28,59.4111461619348,False,,,29,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-37,1649219317,0.6978273391723633,23.80226421356201,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.80226421356201,0,29,f3396e17
29,59.779179810725545,False,,,30,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-38,1649219318,0.6910243034362793,24.49328851699829,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.49328851699829,0,30,f3396e17
30,59.884332281808625,False,,,31,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-39,1649219319,0.6942048072814941,25.187493324279785,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.187493324279785,0,31,f3396e17
31,61.041009463722396,False,,,32,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-40,1649219320,0.6945919990539551,25.88208532333374,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.88208532333374,0,32,f3396e17
32,61.3564668769716,False,,,33,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-40,1649219320,0.7043607234954834,26.586446046829224,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.586446046829224,0,33,f3396e17
33,61.777076761303896,False,,,34,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-41,1649219321,0.7020244598388672,27.28847050666809,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.28847050666809,0,34,f3396e17
34,62.25026288117771,False,,,35,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-42,1649219322,0.6903376579284668,27.978808164596558,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.978808164596558,0,35,f3396e17
35,64.87907465825447,False,,,36,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-42,1649219322,0.6880455017089844,28.666853666305542,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.666853666305542,0,36,f3396e17
36,65.61514195583597,False,,,37,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-43,1649219323,0.6806657314300537,29.347519397735596,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.347519397735596,0,37,f3396e17
37,65.24710830704522,False,,,38,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-44,1649219324,0.6920952796936035,30.0396146774292,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.0396146774292,0,38,f3396e17
38,65.72029442691904,False,,,39,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-45,1649219325,0.6769769191741943,30.716591596603394,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.716591596603394,0,39,f3396e17
39,66.77181913774973,False,,,40,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-45,1649219325,0.6726460456848145,31.389237642288208,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.389237642288208,0,40,f3396e17
40,67.82334384858044,False,,,41,630f3419b57d41c8ace24ae22c365fec,2022-04-06_04-28-46,1649219326,0.6817972660064697,32.07103490829468,90175,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.07103490829468,0,41,f3396e17
