epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.575184016824394,False,,,1,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-14,1649218874,4.8698506355285645,4.8698506355285645,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.8698506355285645,0,1,f69b478f
1,58.99053627760252,False,,,2,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-14,1649218874,0.7443149089813232,5.614165544509888,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.614165544509888,0,2,f69b478f
2,56.46687697160884,False,,,3,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-16,1649218876,1.411050796508789,7.025216341018677,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.025216341018677,0,3,f69b478f
3,54.73186119873817,False,,,4,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-17,1649218877,1.0346639156341553,8.059880256652832,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.059880256652832,0,4,f69b478f
4,53.364879074658255,False,,,5,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-19,1649218879,1.7612519264221191,9.821132183074951,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.821132183074951,0,5,f69b478f
5,67.50788643533123,False,,,6,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-21,1649218881,1.7634127140045166,11.584544897079468,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.584544897079468,0,6,f69b478f
6,68.55941114616193,False,,,7,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-22,1649218882,1.764451026916504,13.348995923995972,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.348995923995972,0,7,f69b478f
7,56.36172450052577,False,,,8,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-24,1649218884,1.7562496662139893,15.105245590209961,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.105245590209961,0,8,f69b478f
8,71.34595162986331,False,,,9,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-26,1649218886,1.76399827003479,16.86924386024475,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.86924386024475,0,9,f69b478f
9,53.10199789695058,False,,,10,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-28,1649218888,1.7743399143218994,18.64358377456665,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.64358377456665,0,10,f69b478f
10,53.10199789695058,False,,,11,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-30,1649218890,1.8112964630126953,20.454880237579346,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.454880237579346,0,11,f69b478f
11,56.098843322818084,False,,,12,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-31,1649218891,1.7662971019744873,22.221177339553833,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.221177339553833,0,12,f69b478f
12,62.14511041009464,False,,,13,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-33,1649218893,1.6774206161499023,23.898597955703735,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.898597955703735,0,13,f69b478f
13,59.884332281808625,False,,,14,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-35,1649218895,1.742598056793213,25.64119601249695,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.64119601249695,0,14,f69b478f
14,72.87066246056783,False,,,15,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-37,1649218897,1.7722792625427246,27.413475275039673,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.413475275039673,0,15,f69b478f
15,73.50157728706624,False,,,16,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-39,1649218899,1.7574026584625244,29.170877933502197,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.170877933502197,0,16,f69b478f
16,64.51104100946372,False,,,17,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-40,1649218900,1.7668805122375488,30.937758445739746,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.937758445739746,0,17,f69b478f
17,66.03575184016825,False,,,18,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-42,1649218902,1.7729864120483398,32.710744857788086,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.710744857788086,0,18,f69b478f
18,75.8149316508938,False,,,19,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-44,1649218904,1.755903959274292,34.46664881706238,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.46664881706238,0,19,f69b478f
19,76.81388012618297,False,,,20,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-49,1649218909,1.7816298007965088,36.24827861785889,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.24827861785889,0,20,f69b478f
20,72.87066246056783,False,,,21,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-51,1649218911,1.673074722290039,37.921353340148926,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.921353340148926,0,21,f69b478f
21,70.66246056782335,False,,,22,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-53,1649218913,1.7740147113800049,39.69536805152893,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.69536805152893,0,22,f69b478f
22,58.51735015772871,False,,,23,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-55,1649218915,1.6156558990478516,41.31102395057678,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.31102395057678,0,23,f69b478f
23,68.5068349106204,False,,,24,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-56,1649218916,1.7759134769439697,43.08693742752075,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.08693742752075,0,24,f69b478f
24,68.08622502628812,False,,,25,f3102a0bc414428db551f94593d5679b,2022-04-06_04-21-58,1649218918,1.7614989280700684,44.84843635559082,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.84843635559082,0,25,f69b478f
25,58.937960042060986,False,,,26,f3102a0bc414428db551f94593d5679b,2022-04-06_04-22-00,1649218920,1.7936828136444092,46.64211916923523,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.64211916923523,0,26,f69b478f
26,68.19137749737119,False,,,27,f3102a0bc414428db551f94593d5679b,2022-04-06_04-22-01,1649218921,1.4508709907531738,48.0929901599884,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,48.0929901599884,0,27,f69b478f
27,57.72870662460568,False,,,28,f3102a0bc414428db551f94593d5679b,2022-04-06_04-22-03,1649218923,1.6543262004852295,49.74731636047363,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.74731636047363,0,28,f69b478f
28,55.15247108307045,False,,,29,f3102a0bc414428db551f94593d5679b,2022-04-06_04-22-05,1649218925,1.7683591842651367,51.51567554473877,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.51567554473877,0,29,f69b478f
29,64.24815983175604,False,,,30,f3102a0bc414428db551f94593d5679b,2022-04-06_04-22-06,1649218926,0.7122507095336914,52.22792625427246,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.22792625427246,0,30,f69b478f
30,66.98212407991588,False,,,31,f3102a0bc414428db551f94593d5679b,2022-04-06_04-22-06,1649218926,0.6993248462677002,52.92725110054016,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.92725110054016,0,31,f69b478f
31,62.14511041009464,False,,,32,f3102a0bc414428db551f94593d5679b,2022-04-06_04-22-07,1649218927,0.6892135143280029,53.616464614868164,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,53.616464614868164,0,32,f69b478f
32,60.83070452155626,False,,,33,f3102a0bc414428db551f94593d5679b,2022-04-06_04-22-08,1649218928,0.6878516674041748,54.30431628227234,90169,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.30431628227234,0,33,f69b478f
