epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-09,1649218029,4.562469005584717,4.562469005584717,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.562469005584717,0,1,0196852d
1,53.10199789695058,False,,,2,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-10,1649218030,0.6958255767822266,5.258294582366943,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.258294582366943,0,2,0196852d
2,53.10199789695058,False,,,3,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-11,1649218031,0.6997714042663574,5.958065986633301,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.958065986633301,0,3,0196852d
3,53.10199789695058,False,,,4,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-11,1649218031,0.6881229877471924,6.646188974380493,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.646188974380493,0,4,0196852d
4,53.10199789695058,False,,,5,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-12,1649218032,0.6807527542114258,7.326941728591919,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.326941728591919,0,5,0196852d
5,53.10199789695058,False,,,6,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-13,1649218033,0.6806254386901855,8.007567167282104,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.007567167282104,0,6,0196852d
6,53.10199789695058,False,,,7,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-13,1649218033,0.6840524673461914,8.691619634628296,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.691619634628296,0,7,0196852d
7,53.10199789695058,False,,,8,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-14,1649218034,0.7031335830688477,9.394753217697144,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.394753217697144,0,8,0196852d
8,53.10199789695058,False,,,9,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-15,1649218035,0.6922729015350342,10.087026119232178,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.087026119232178,0,9,0196852d
9,53.10199789695058,False,,,10,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-16,1649218036,0.6881313323974609,10.775157451629639,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.775157451629639,0,10,0196852d
10,53.10199789695058,False,,,11,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-16,1649218036,0.687453031539917,11.462610483169556,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.462610483169556,0,11,0196852d
11,53.10199789695058,False,,,12,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-17,1649218037,0.6892995834350586,12.151910066604614,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.151910066604614,0,12,0196852d
12,53.10199789695058,False,,,13,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-18,1649218038,0.6830043792724609,12.834914445877075,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.834914445877075,0,13,0196852d
13,53.31230283911672,False,,,14,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-18,1649218038,0.6972451210021973,13.532159566879272,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.532159566879272,0,14,0196852d
14,46.89800210304942,False,,,15,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-19,1649218039,0.6817407608032227,14.213900327682495,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.213900327682495,0,15,0196852d
15,51.31440588853838,False,,,16,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-20,1649218040,0.7122437953948975,14.926144123077393,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.926144123077393,0,16,0196852d
16,46.89800210304942,False,,,17,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-20,1649218040,0.6823759078979492,15.608520030975342,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.608520030975342,0,17,0196852d
17,58.359621451104104,False,,,18,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-21,1649218041,0.6679098606109619,16.276429891586304,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.276429891586304,0,18,0196852d
18,34.12197686645636,False,,,19,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-22,1649218042,0.6827199459075928,16.959149837493896,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.959149837493896,0,19,0196852d
19,68.45425867507886,False,,,20,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-23,1649218043,0.6655960083007812,17.624745845794678,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.624745845794678,0,20,0196852d
20,53.04942166140905,False,,,21,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-23,1649218043,0.6868093013763428,18.31155514717102,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.31155514717102,0,21,0196852d
21,53.47003154574133,False,,,22,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-24,1649218044,0.702167272567749,19.01372241973877,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.01372241973877,0,22,0196852d
22,53.732912723449,False,,,23,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-25,1649218045,0.8784081935882568,19.892130613327026,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.892130613327026,0,23,0196852d
23,53.10199789695058,False,,,24,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-26,1649218046,0.7269792556762695,20.619109869003296,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.619109869003296,0,24,0196852d
24,46.37223974763407,False,,,25,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-26,1649218046,0.7203817367553711,21.339491605758667,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.339491605758667,0,25,0196852d
25,46.89800210304942,False,,,26,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-27,1649218047,0.7675271034240723,22.10701870918274,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.10701870918274,0,26,0196852d
26,48.159831756046266,False,,,27,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-28,1649218048,0.6926753520965576,22.799694061279297,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.799694061279297,0,27,0196852d
27,52.628811777076756,False,,,28,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-29,1649218049,0.6895506381988525,23.48924469947815,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.48924469947815,0,28,0196852d
28,44.00630914826498,False,,,29,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-29,1649218049,0.7206716537475586,24.209916353225708,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.209916353225708,0,29,0196852d
29,53.10199789695058,False,,,30,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-30,1649218050,0.7493319511413574,24.959248304367065,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.959248304367065,0,30,0196852d
30,46.68769716088328,False,,,31,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-31,1649218051,0.7651336193084717,25.724381923675537,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.724381923675537,0,31,0196852d
31,53.10199789695058,False,,,32,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-32,1649218052,0.7126479148864746,26.43702983856201,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.43702983856201,0,32,0196852d
32,53.25972660357519,False,,,33,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-33,1649218053,1.263519048690796,27.700548887252808,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.700548887252808,0,33,0196852d
33,46.89800210304942,False,,,34,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-34,1649218054,1.1872806549072266,28.887829542160034,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.887829542160034,0,34,0196852d
34,46.89800210304942,False,,,35,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-35,1649218055,0.6915597915649414,29.579389333724976,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.579389333724976,0,35,0196852d
35,52.733964248159836,False,,,36,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-36,1649218056,1.217395305633545,30.79678463935852,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.79678463935852,0,36,0196852d
36,45.846477392218716,False,,,37,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-37,1649218057,1.4588954448699951,32.255680084228516,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.255680084228516,0,37,0196852d
37,47.05573080967403,False,,,38,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-39,1649218059,1.6197936534881592,33.875473737716675,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.875473737716675,0,38,0196852d
38,53.154574132492115,False,,,39,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-41,1649218061,1.7124769687652588,35.587950706481934,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.587950706481934,0,39,0196852d
39,46.79284963196635,False,,,40,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-42,1649218062,1.4955775737762451,37.08352828025818,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.08352828025818,0,40,0196852d
40,53.10199789695058,False,,,41,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-44,1649218064,1.5298733711242676,38.613401651382446,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.613401651382446,0,41,0196852d
41,44.42691903259727,False,,,42,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-45,1649218065,1.4689886569976807,40.08239030838013,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.08239030838013,0,42,0196852d
42,78.86435331230284,False,,,43,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-47,1649218067,1.7562196254730225,41.83860993385315,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.83860993385315,0,43,0196852d
43,46.68769716088328,False,,,44,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-49,1649218069,1.5862987041473389,43.42490863800049,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.42490863800049,0,44,0196852d
44,53.10199789695058,False,,,45,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-50,1649218070,1.7634050846099854,45.188313722610474,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.188313722610474,0,45,0196852d
45,46.89800210304942,False,,,46,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-51,1649218071,0.6927356719970703,45.881049394607544,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.881049394607544,0,46,0196852d
46,53.10199789695058,False,,,47,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-53,1649218073,1.7599377632141113,47.640987157821655,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,47.640987157821655,0,47,0196852d
47,53.10199789695058,False,,,48,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-55,1649218075,1.7679684162139893,49.408955574035645,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.408955574035645,0,48,0196852d
48,47.003154574132495,False,,,49,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-57,1649218077,1.771047830581665,51.18000340461731,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.18000340461731,0,49,0196852d
49,53.10199789695058,False,,,50,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-07-58,1649218078,1.6790475845336914,52.859050989151,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.859050989151,0,50,0196852d
50,46.05678233438486,False,,,51,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-08-00,1649218080,1.7333052158355713,54.59235620498657,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.59235620498657,0,51,0196852d
51,46.89800210304942,False,,,52,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-08-02,1649218082,1.5508010387420654,56.14315724372864,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.14315724372864,0,52,0196852d
52,50.998948475289176,False,,,53,6dd0cd86beac4c18a859aaa28c5dbead,2022-04-06_04-08-03,1649218083,1.481541633605957,57.624698877334595,94153,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,57.624698877334595,0,53,0196852d
