epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,48.738170347003155,False,,,1,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-47,1649216747,4.24698281288147,4.24698281288147,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.24698281288147,0,1,061f4187
1,51.68243953732913,False,,,2,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-48,1649216748,0.6908206939697266,4.937803506851196,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.937803506851196,0,2,061f4187
2,52.733964248159836,False,,,3,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-49,1649216749,0.6876232624053955,5.625426769256592,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.625426769256592,0,3,061f4187
3,52.57623554153522,False,,,4,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-50,1649216750,0.6800572872161865,6.305484056472778,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.305484056472778,0,4,061f4187
4,51.31440588853838,False,,,5,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-50,1649216750,0.6776368618011475,6.983120918273926,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.983120918273926,0,5,061f4187
5,51.209253417455315,False,,,6,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-51,1649216751,0.6770119667053223,7.660132884979248,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.660132884979248,0,6,061f4187
6,50.315457413249206,False,,,7,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-52,1649216752,0.6763606071472168,8.336493492126465,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.336493492126465,0,7,061f4187
7,49.369085173501574,False,,,8,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-52,1649216752,0.6852788925170898,9.021772384643555,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.021772384643555,0,8,061f4187
8,48.89589905362776,False,,,9,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-53,1649216753,0.6962885856628418,9.718060970306396,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.718060970306396,0,9,061f4187
9,49.00105152471083,False,,,10,f276c0cc11724bb5b00772702f0078a5,2022-04-06_03-45-54,1649216754,0.6995925903320312,10.417653560638428,94152,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.417653560638428,0,10,061f4187
