epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-38-59,1649216339,4.515462398529053,4.515462398529053,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.515462398529053,0,1,12fe8451
1,53.10199789695058,False,,,2,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-39-00,1649216340,1.802048921585083,6.317511320114136,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.317511320114136,0,2,12fe8451
2,53.10199789695058,False,,,3,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-39-02,1649216342,1.7796940803527832,8.097205400466919,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.097205400466919,0,3,12fe8451
3,53.10199789695058,False,,,4,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-39-04,1649216344,1.7766470909118652,9.873852491378784,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.873852491378784,0,4,12fe8451
4,53.10199789695058,False,,,5,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-39-06,1649216346,1.7945866584777832,11.668439149856567,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.668439149856567,0,5,12fe8451
5,53.10199789695058,False,,,6,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-39-08,1649216348,1.7809991836547852,13.449438333511353,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.449438333511353,0,6,12fe8451
6,53.10199789695058,False,,,7,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-39-09,1649216349,1.7880973815917969,15.23753571510315,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.23753571510315,0,7,12fe8451
7,53.10199789695058,False,,,8,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-39-11,1649216351,1.7808949947357178,17.018430709838867,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.018430709838867,0,8,12fe8451
8,53.10199789695058,False,,,9,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-39-13,1649216353,1.8192358016967773,18.837666511535645,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.837666511535645,0,9,12fe8451
9,53.10199789695058,False,,,10,c6b58820c71c4a6e87e007ff8be5eaa2,2022-04-06_03-39-15,1649216355,1.788717269897461,20.626383781433105,94167,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.626383781433105,0,10,12fe8451
