epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-00,1649216340,4.568466901779175,4.568466901779175,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.568466901779175,0,1,130afbc6
1,53.10199789695058,False,,,2,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-01,1649216341,1.8430352210998535,6.411502122879028,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.411502122879028,0,2,130afbc6
2,53.10199789695058,False,,,3,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-03,1649216343,1.830265760421753,8.241767883300781,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.241767883300781,0,3,130afbc6
3,53.10199789695058,False,,,4,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-05,1649216345,1.8303332328796387,10.07210111618042,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.07210111618042,0,4,130afbc6
4,53.10199789695058,False,,,5,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-07,1649216347,1.8167743682861328,11.888875484466553,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.888875484466553,0,5,130afbc6
5,53.10199789695058,False,,,6,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-09,1649216349,1.816760778427124,13.705636262893677,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.705636262893677,0,6,130afbc6
6,53.10199789695058,False,,,7,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-11,1649216351,1.828857660293579,15.534493923187256,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.534493923187256,0,7,130afbc6
7,53.10199789695058,False,,,8,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-12,1649216352,1.8297643661499023,17.364258289337158,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.364258289337158,0,8,130afbc6
8,53.10199789695058,False,,,9,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-14,1649216354,1.5621540546417236,18.926412343978882,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.926412343978882,0,9,130afbc6
9,53.10199789695058,False,,,10,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-15,1649216355,0.6909940242767334,19.617406368255615,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.617406368255615,0,10,130afbc6
10,53.10199789695058,False,,,11,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-15,1649216355,0.7061405181884766,20.323546886444092,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.323546886444092,0,11,130afbc6
11,53.10199789695058,False,,,12,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-16,1649216356,0.7219595909118652,21.045506477355957,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.045506477355957,0,12,130afbc6
12,53.10199789695058,False,,,13,543519394a9b40279532eaf323c11a68,2022-04-06_03-39-17,1649216357,0.7430539131164551,21.788560390472412,94124,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.788560390472412,0,13,130afbc6
