epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-14,1649216354,7.696569204330444,7.696569204330444,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.696569204330444,0,1,13fcb9aa
1,53.10199789695058,False,,,2,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-16,1649216356,1.8588213920593262,9.55539059638977,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.55539059638977,0,2,13fcb9aa
2,53.10199789695058,False,,,3,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-17,1649216357,1.7618331909179688,11.31722378730774,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.31722378730774,0,3,13fcb9aa
3,53.10199789695058,False,,,4,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-19,1649216359,1.8433849811553955,13.160608768463135,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.160608768463135,0,4,13fcb9aa
4,53.10199789695058,False,,,5,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-21,1649216361,1.8405098915100098,15.001118659973145,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.001118659973145,0,5,13fcb9aa
5,53.10199789695058,False,,,6,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-23,1649216363,1.7759296894073486,16.777048349380493,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.777048349380493,0,6,13fcb9aa
6,53.10199789695058,False,,,7,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-25,1649216365,1.7728488445281982,18.54989719390869,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.54989719390869,0,7,13fcb9aa
7,53.10199789695058,False,,,8,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-26,1649216366,1.7159440517425537,20.265841245651245,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.265841245651245,0,8,13fcb9aa
8,53.10199789695058,False,,,9,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-28,1649216368,1.7801165580749512,22.045957803726196,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.045957803726196,0,9,13fcb9aa
9,53.10199789695058,False,,,10,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-30,1649216370,1.8069312572479248,23.85288906097412,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.85288906097412,0,10,13fcb9aa
10,53.10199789695058,False,,,11,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-31,1649216371,0.7123920917510986,24.56528115272522,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.56528115272522,0,11,13fcb9aa
11,53.10199789695058,False,,,12,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-31,1649216371,0.7152490615844727,25.280530214309692,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.280530214309692,0,12,13fcb9aa
12,53.154574132492115,False,,,13,f876f781ebc8465f8dba7988e485a065,2022-04-06_03-39-33,1649216373,1.6962618827819824,26.976792097091675,94166,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.976792097091675,0,13,13fcb9aa
