epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-26,1649217206,5.2582128047943115,5.2582128047943115,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.2582128047943115,0,1,16272357
1,53.10199789695058,False,,,2,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-27,1649217207,1.3596422672271729,6.617855072021484,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.617855072021484,0,2,16272357
2,53.10199789695058,False,,,3,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-29,1649217209,1.8046462535858154,8.4225013256073,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.4225013256073,0,3,16272357
3,53.10199789695058,False,,,4,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-31,1649217211,1.793569803237915,10.216071128845215,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.216071128845215,0,4,16272357
4,53.10199789695058,False,,,5,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-32,1649217212,1.7929308414459229,12.009001970291138,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.009001970291138,0,5,16272357
5,53.10199789695058,False,,,6,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-34,1649217214,1.8042888641357422,13.81329083442688,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.81329083442688,0,6,16272357
6,53.10199789695058,False,,,7,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-36,1649217216,1.7955901622772217,15.608880996704102,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.608880996704102,0,7,16272357
7,53.10199789695058,False,,,8,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-38,1649217218,1.7845067977905273,17.39338779449463,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.39338779449463,0,8,16272357
8,53.10199789695058,False,,,9,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-40,1649217220,1.8001899719238281,19.193577766418457,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.193577766418457,0,9,16272357
9,53.10199789695058,False,,,10,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-41,1649217221,1.7894010543823242,20.98297882080078,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.98297882080078,0,10,16272357
10,53.10199789695058,False,,,11,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-43,1649217223,1.7972702980041504,22.78024911880493,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.78024911880493,0,11,16272357
11,53.10199789695058,False,,,12,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-45,1649217225,1.7862439155578613,24.566493034362793,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.566493034362793,0,12,16272357
12,53.10199789695058,False,,,13,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-47,1649217227,1.7828383445739746,26.349331378936768,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.349331378936768,0,13,16272357
13,53.10199789695058,False,,,14,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-49,1649217229,1.7943646907806396,28.143696069717407,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.143696069717407,0,14,16272357
14,53.10199789695058,False,,,15,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-50,1649217230,1.406111478805542,29.54980754852295,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.54980754852295,0,15,16272357
15,53.10199789695058,False,,,16,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-51,1649217231,0.6817846298217773,30.231592178344727,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.231592178344727,0,16,16272357
16,53.10199789695058,False,,,17,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-51,1649217231,0.6902501583099365,30.921842336654663,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.921842336654663,0,17,16272357
17,53.10199789695058,False,,,18,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-53,1649217233,1.231618881225586,32.15346121788025,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.15346121788025,0,18,16272357
18,53.10199789695058,False,,,19,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-54,1649217234,1.7982492446899414,33.95171046257019,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.95171046257019,0,19,16272357
19,53.10199789695058,False,,,20,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-56,1649217236,1.7356045246124268,35.68731498718262,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.68731498718262,0,20,16272357
20,53.10199789695058,False,,,21,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-58,1649217238,1.5654356479644775,37.252750635147095,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.252750635147095,0,21,16272357
21,53.10199789695058,False,,,22,30055e05480740ffa7d6d6369698f283,2022-04-06_03-53-59,1649217239,1.5076637268066406,38.760414361953735,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.760414361953735,0,22,16272357
22,53.10199789695058,False,,,23,30055e05480740ffa7d6d6369698f283,2022-04-06_03-54-01,1649217241,1.7826147079467773,40.54302906990051,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.54302906990051,0,23,16272357
23,53.10199789695058,False,,,24,30055e05480740ffa7d6d6369698f283,2022-04-06_03-54-03,1649217243,1.5323231220245361,42.07535219192505,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.07535219192505,0,24,16272357
24,53.10199789695058,False,,,25,30055e05480740ffa7d6d6369698f283,2022-04-06_03-54-04,1649217244,1.7302937507629395,43.80564594268799,94163,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.80564594268799,0,25,16272357
