epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-33,1649217213,4.28167462348938,4.28167462348938,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.28167462348938,0,1,1b688f31
1,53.10199789695058,False,,,2,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-34,1649217214,0.6835923194885254,4.965266942977905,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,4.965266942977905,0,2,1b688f31
2,53.10199789695058,False,,,3,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-35,1649217215,0.672044038772583,5.637310981750488,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.637310981750488,0,3,1b688f31
3,53.10199789695058,False,,,4,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-35,1649217215,0.6662392616271973,6.3035502433776855,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.3035502433776855,0,4,1b688f31
4,53.10199789695058,False,,,5,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-36,1649217216,0.6770284175872803,6.980578660964966,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.980578660964966,0,5,1b688f31
5,53.10199789695058,False,,,6,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-37,1649217217,0.6670033931732178,7.647582054138184,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.647582054138184,0,6,1b688f31
6,53.10199789695058,False,,,7,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-37,1649217217,0.6798515319824219,8.327433586120605,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.327433586120605,0,7,1b688f31
7,53.10199789695058,False,,,8,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-38,1649217218,0.6708333492279053,8.99826693534851,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.99826693534851,0,8,1b688f31
8,53.10199789695058,False,,,9,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-39,1649217219,0.6688446998596191,9.66711163520813,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.66711163520813,0,9,1b688f31
9,53.10199789695058,False,,,10,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-39,1649217219,0.6627023220062256,10.329813957214355,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.329813957214355,0,10,1b688f31
10,53.10199789695058,False,,,11,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-40,1649217220,0.6592628955841064,10.989076852798462,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,10.989076852798462,0,11,1b688f31
11,53.10199789695058,False,,,12,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-41,1649217221,0.6716339588165283,11.66071081161499,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.66071081161499,0,12,1b688f31
12,53.10199789695058,False,,,13,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-41,1649217221,0.6729910373687744,12.333701848983765,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.333701848983765,0,13,1b688f31
13,53.10199789695058,False,,,14,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-42,1649217222,0.6761085987091064,13.009810447692871,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.009810447692871,0,14,1b688f31
14,53.10199789695058,False,,,15,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-43,1649217223,0.6645407676696777,13.674351215362549,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.674351215362549,0,15,1b688f31
15,53.10199789695058,False,,,16,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-43,1649217223,0.6777169704437256,14.352068185806274,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.352068185806274,0,16,1b688f31
16,53.10199789695058,False,,,17,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-44,1649217224,0.667043924331665,15.01911211013794,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.01911211013794,0,17,1b688f31
17,53.10199789695058,False,,,18,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-45,1649217225,0.6667146682739258,15.685826778411865,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.685826778411865,0,18,1b688f31
18,53.10199789695058,False,,,19,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-45,1649217225,0.6683156490325928,16.354142427444458,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.354142427444458,0,19,1b688f31
19,53.10199789695058,False,,,20,67a766d4f5184ec6bfb8ef299f982a60,2022-04-06_03-53-46,1649217226,0.6748099327087402,17.0289523601532,94129,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.0289523601532,0,20,1b688f31
