epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-22,1649218942,6.066298723220825,6.066298723220825,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.066298723220825,0,1,1d3cc5aa
1,53.10199789695058,False,,,2,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-24,1649218944,1.7986936569213867,7.864992380142212,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,7.864992380142212,0,2,1d3cc5aa
2,53.10199789695058,False,,,3,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-26,1649218946,1.8140456676483154,9.679038047790527,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.679038047790527,0,3,1d3cc5aa
3,53.10199789695058,False,,,4,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-27,1649218947,1.7940258979797363,11.473063945770264,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.473063945770264,0,4,1d3cc5aa
4,53.10199789695058,False,,,5,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-29,1649218949,1.7831401824951172,13.25620412826538,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,13.25620412826538,0,5,1d3cc5aa
5,53.10199789695058,False,,,6,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-31,1649218951,1.7753839492797852,15.031588077545166,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.031588077545166,0,6,1d3cc5aa
6,53.10199789695058,False,,,7,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-33,1649218953,1.7818341255187988,16.813422203063965,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.813422203063965,0,7,1d3cc5aa
7,53.10199789695058,False,,,8,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-34,1649218954,1.579996109008789,18.393418312072754,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.393418312072754,0,8,1d3cc5aa
8,53.10199789695058,False,,,9,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-35,1649218955,0.7060282230377197,19.099446535110474,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.099446535110474,0,9,1d3cc5aa
9,53.10199789695058,False,,,10,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-36,1649218956,0.6713888645172119,19.770835399627686,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.770835399627686,0,10,1d3cc5aa
10,53.10199789695058,False,,,11,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-37,1649218957,1.470963954925537,21.241799354553223,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.241799354553223,0,11,1d3cc5aa
11,53.10199789695058,False,,,12,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-39,1649218959,1.7880823612213135,23.029881715774536,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.029881715774536,0,12,1d3cc5aa
12,53.10199789695058,False,,,13,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-40,1649218960,0.9660782814025879,23.995959997177124,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.995959997177124,0,13,1d3cc5aa
13,53.10199789695058,False,,,14,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-41,1649218961,0.6555612087249756,24.6515212059021,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,24.6515212059021,0,14,1d3cc5aa
14,53.10199789695058,False,,,15,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-41,1649218961,0.6594452857971191,25.31096649169922,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.31096649169922,0,15,1d3cc5aa
15,53.10199789695058,False,,,16,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-42,1649218962,0.6625001430511475,25.973466634750366,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.973466634750366,0,16,1d3cc5aa
16,53.10199789695058,False,,,17,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-43,1649218963,0.667184591293335,26.6406512260437,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,26.6406512260437,0,17,1d3cc5aa
17,53.10199789695058,False,,,18,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-43,1649218963,0.6580815315246582,27.29873275756836,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.29873275756836,0,18,1d3cc5aa
18,53.10199789695058,False,,,19,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-44,1649218964,0.6736948490142822,27.97242760658264,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.97242760658264,0,19,1d3cc5aa
19,53.10199789695058,False,,,20,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-45,1649218965,0.6510307788848877,28.62345838546753,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.62345838546753,0,20,1d3cc5aa
20,53.10199789695058,False,,,21,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-45,1649218965,0.6508655548095703,29.2743239402771,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.2743239402771,0,21,1d3cc5aa
21,53.10199789695058,False,,,22,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-46,1649218966,0.6425130367279053,29.916836977005005,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.916836977005005,0,22,1d3cc5aa
22,53.10199789695058,False,,,23,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-47,1649218967,0.6684439182281494,30.585280895233154,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.585280895233154,0,23,1d3cc5aa
23,53.10199789695058,False,,,24,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-47,1649218967,0.6529989242553711,31.238279819488525,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.238279819488525,0,24,1d3cc5aa
24,53.10199789695058,False,,,25,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-48,1649218968,0.6521103382110596,31.890390157699585,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,31.890390157699585,0,25,1d3cc5aa
25,53.10199789695058,False,,,26,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-49,1649218969,0.6825628280639648,32.57295298576355,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.57295298576355,0,26,1d3cc5aa
26,53.10199789695058,False,,,27,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-49,1649218969,0.6564066410064697,33.22935962677002,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.22935962677002,0,27,1d3cc5aa
27,53.10199789695058,False,,,28,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-50,1649218970,0.6568605899810791,33.8862202167511,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.8862202167511,0,28,1d3cc5aa
28,53.10199789695058,False,,,29,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-51,1649218971,0.6584420204162598,34.54466223716736,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.54466223716736,0,29,1d3cc5aa
29,53.10199789695058,False,,,30,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-51,1649218971,0.6654543876647949,35.21011662483215,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.21011662483215,0,30,1d3cc5aa
30,53.10199789695058,False,,,31,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-52,1649218972,0.654172420501709,35.86428904533386,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.86428904533386,0,31,1d3cc5aa
31,53.10199789695058,False,,,32,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-53,1649218973,0.6582260131835938,36.522515058517456,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.522515058517456,0,32,1d3cc5aa
32,53.10199789695058,False,,,33,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-53,1649218973,0.655792236328125,37.17830729484558,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.17830729484558,0,33,1d3cc5aa
33,53.10199789695058,False,,,34,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-54,1649218974,0.6687185764312744,37.847025871276855,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.847025871276855,0,34,1d3cc5aa
34,53.10199789695058,False,,,35,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-55,1649218975,0.6607964038848877,38.50782227516174,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.50782227516174,0,35,1d3cc5aa
35,53.10199789695058,False,,,36,d5e83cede30f43cc9c28ffb82a3f85f0,2022-04-06_04-22-55,1649218975,0.6573374271392822,39.165159702301025,94116,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,39.165159702301025,0,36,1d3cc5aa
