epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-08,1649217668,5.6852428913116455,5.6852428913116455,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,5.6852428913116455,0,1,28303b60
1,47.84437434279706,False,,,2,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-09,1649217669,1.0980124473571777,6.783255338668823,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.783255338668823,0,2,28303b60
2,54.10094637223975,False,,,3,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-11,1649217671,1.316953182220459,8.100208520889282,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.100208520889282,0,3,28303b60
3,53.10199789695058,False,,,4,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-12,1649217672,1.189854621887207,9.29006314277649,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.29006314277649,0,4,28303b60
4,53.10199789695058,False,,,5,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-14,1649217674,1.720660924911499,11.010724067687988,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.010724067687988,0,5,28303b60
5,53.10199789695058,False,,,6,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-15,1649217675,1.6882474422454834,12.698971509933472,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.698971509933472,0,6,28303b60
6,53.10199789695058,False,,,7,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-17,1649217677,1.4408202171325684,14.13979172706604,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.13979172706604,0,7,28303b60
7,53.10199789695058,False,,,8,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-18,1649217678,1.4071757793426514,15.546967506408691,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.546967506408691,0,8,28303b60
8,53.10199789695058,False,,,9,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-19,1649217679,1.0835292339324951,16.630496740341187,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,16.630496740341187,0,9,28303b60
9,53.10199789695058,False,,,10,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-21,1649217681,1.6347181797027588,18.265214920043945,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,18.265214920043945,0,10,28303b60
10,53.10199789695058,False,,,11,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-22,1649217682,1.2108168601989746,19.47603178024292,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.47603178024292,0,11,28303b60
11,53.10199789695058,False,,,12,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-24,1649217684,1.6898326873779297,21.16586446762085,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,21.16586446762085,0,12,28303b60
12,53.10199789695058,False,,,13,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-26,1649217686,1.7712459564208984,22.937110424041748,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.937110424041748,0,13,28303b60
13,53.10199789695058,False,,,14,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-27,1649217687,0.7243080139160156,23.661418437957764,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.661418437957764,0,14,28303b60
14,53.10199789695058,False,,,15,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-28,1649217688,1.757171869277954,25.418590307235718,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.418590307235718,0,15,28303b60
15,53.10199789695058,False,,,16,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-30,1649217690,1.7150919437408447,27.133682250976562,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.133682250976562,0,16,28303b60
16,53.10199789695058,False,,,17,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-31,1649217691,0.7226912975311279,27.85637354850769,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.85637354850769,0,17,28303b60
17,53.10199789695058,False,,,18,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-33,1649217693,1.7600417137145996,29.61641526222229,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,29.61641526222229,0,18,28303b60
18,53.10199789695058,False,,,19,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-34,1649217694,0.93564772605896,30.55206298828125,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.55206298828125,0,19,28303b60
19,53.10199789695058,False,,,20,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-35,1649217695,1.7037742137908936,32.255837202072144,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.255837202072144,0,20,28303b60
20,53.10199789695058,False,,,21,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-37,1649217697,1.5396311283111572,33.7954683303833,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.7954683303833,0,21,28303b60
21,53.10199789695058,False,,,22,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-38,1649217698,1.1002347469329834,34.895703077316284,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,34.895703077316284,0,22,28303b60
22,53.10199789695058,False,,,23,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-39,1649217699,1.2938346862792969,36.18953776359558,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.18953776359558,0,23,28303b60
23,53.10199789695058,False,,,24,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-40,1649217700,1.0667757987976074,37.25631356239319,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,37.25631356239319,0,24,28303b60
24,53.10199789695058,False,,,25,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-42,1649217702,1.5134434700012207,38.76975703239441,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.76975703239441,0,25,28303b60
25,53.154574132492115,False,,,26,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-43,1649217703,1.4710381031036377,40.24079513549805,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.24079513549805,0,26,28303b60
26,53.575184016824394,False,,,27,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-46,1649217706,1.568781852722168,41.809576988220215,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,41.809576988220215,0,27,28303b60
27,53.41745531019979,False,,,28,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-47,1649217707,1.7039997577667236,43.51357674598694,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.51357674598694,0,28,28303b60
28,54.04837013669821,False,,,29,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-48,1649217708,1.0489678382873535,44.56254458427429,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,44.56254458427429,0,29,28303b60
29,56.51945320715037,False,,,30,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-50,1649217710,1.7737362384796143,46.336280822753906,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.336280822753906,0,30,28303b60
30,56.57202944269191,False,,,31,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-52,1649217712,1.789536714553833,48.12581753730774,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,48.12581753730774,0,31,28303b60
31,54.94216614090431,False,,,32,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-54,1649217714,1.775451421737671,49.90126895904541,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.90126895904541,0,32,28303b60
32,55.257623554153525,False,,,33,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-55,1649217715,1.7949752807617188,51.69624423980713,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.69624423980713,0,33,28303b60
33,54.363827549947416,False,,,34,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-57,1649217717,1.5267131328582764,53.222957372665405,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,53.222957372665405,0,34,28303b60
34,54.52155625657203,False,,,35,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-01-59,1649217719,1.5688645839691162,54.79182195663452,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.79182195663452,0,35,28303b60
35,53.89064143007361,False,,,36,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-02-00,1649217720,1.792942762374878,56.5847647190094,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.5847647190094,0,36,28303b60
36,54.25867507886435,False,,,37,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-02-02,1649217722,1.783982276916504,58.3687469959259,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,58.3687469959259,0,37,28303b60
37,53.83806519453207,False,,,38,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-02-04,1649217724,1.3622138500213623,59.730960845947266,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,59.730960845947266,0,38,28303b60
38,54.31125131440589,False,,,39,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-02-06,1649217726,1.7784554958343506,61.509416341781616,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,61.509416341781616,0,39,28303b60
39,49.31650893796004,False,,,40,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-02-07,1649217727,1.78171968460083,63.291136026382446,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,63.291136026382446,0,40,28303b60
40,53.68033648790747,False,,,41,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-02-09,1649217729,1.78812837600708,65.07926440238953,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,65.07926440238953,0,41,28303b60
41,46.004206098843326,False,,,42,fa57a333e6df48158b4bd2394216672d,2022-04-06_04-02-11,1649217731,1.7704477310180664,66.84971213340759,94158,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,66.84971213340759,0,42,28303b60
