epoch,test_accuracy,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id
0,53.10199789695058,False,,,1,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-30,1649218530,6.5264670848846436,6.5264670848846436,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,6.5264670848846436,0,1,2ae47203
1,53.10199789695058,False,,,2,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-32,1649218532,1.819631814956665,8.346098899841309,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,8.346098899841309,0,2,2ae47203
2,53.10199789695058,False,,,3,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-33,1649218533,1.3407869338989258,9.686885833740234,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,9.686885833740234,0,3,2ae47203
3,53.10199789695058,False,,,4,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-35,1649218535,1.4223418235778809,11.109227657318115,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,11.109227657318115,0,4,2ae47203
4,53.10199789695058,False,,,5,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-36,1649218536,1.5025923252105713,12.611819982528687,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,12.611819982528687,0,5,2ae47203
5,53.10199789695058,False,,,6,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-38,1649218538,1.772355556488037,14.384175539016724,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,14.384175539016724,0,6,2ae47203
6,53.10199789695058,False,,,7,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-39,1649218539,1.543022871017456,15.92719841003418,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,15.92719841003418,0,7,2ae47203
7,53.10199789695058,False,,,8,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-41,1649218541,1.457937479019165,17.385135889053345,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,17.385135889053345,0,8,2ae47203
8,53.10199789695058,False,,,9,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-43,1649218543,1.7737674713134766,19.15890336036682,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,19.15890336036682,0,9,2ae47203
9,53.10199789695058,False,,,10,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-44,1649218544,1.4499964714050293,20.60889983177185,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,20.60889983177185,0,10,2ae47203
10,53.10199789695058,False,,,11,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-46,1649218546,1.7946739196777344,22.403573751449585,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,22.403573751449585,0,11,2ae47203
11,53.10199789695058,False,,,12,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-48,1649218548,1.4111030101776123,23.814676761627197,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,23.814676761627197,0,12,2ae47203
12,53.10199789695058,False,,,13,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-49,1649218549,1.6136047840118408,25.428281545639038,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,25.428281545639038,0,13,2ae47203
13,53.10199789695058,False,,,14,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-51,1649218551,1.6950480937957764,27.123329639434814,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,27.123329639434814,0,14,2ae47203
14,53.10199789695058,False,,,15,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-52,1649218552,1.4993183612823486,28.622648000717163,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,28.622648000717163,0,15,2ae47203
15,53.10199789695058,False,,,16,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-54,1649218554,1.775855302810669,30.398503303527832,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,30.398503303527832,0,16,2ae47203
16,53.10199789695058,False,,,17,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-56,1649218556,1.7416105270385742,32.140113830566406,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,32.140113830566406,0,17,2ae47203
17,53.10199789695058,False,,,18,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-58,1649218558,1.7831621170043945,33.9232759475708,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,33.9232759475708,0,18,2ae47203
18,53.10199789695058,False,,,19,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-15-59,1649218559,1.6323373317718506,35.55561327934265,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,35.55561327934265,0,19,2ae47203
19,53.10199789695058,False,,,20,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-01,1649218561,1.4333479404449463,36.9889612197876,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,36.9889612197876,0,20,2ae47203
20,53.10199789695058,False,,,21,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-03,1649218563,1.8367023468017578,38.825663566589355,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,38.825663566589355,0,21,2ae47203
21,53.10199789695058,False,,,22,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-05,1649218565,1.7980473041534424,40.6237108707428,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,40.6237108707428,0,22,2ae47203
22,53.10199789695058,False,,,23,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-06,1649218566,1.7151155471801758,42.338826417922974,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,42.338826417922974,0,23,2ae47203
23,53.10199789695058,False,,,24,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-08,1649218568,1.4841742515563965,43.82300066947937,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,43.82300066947937,0,24,2ae47203
24,53.10199789695058,False,,,25,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-09,1649218569,1.7286937236785889,45.55169439315796,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,45.55169439315796,0,25,2ae47203
25,53.10199789695058,False,,,26,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-10,1649218570,0.6666512489318848,46.218345642089844,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.218345642089844,0,26,2ae47203
26,53.10199789695058,False,,,27,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-11,1649218571,0.6642642021179199,46.882609844207764,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,46.882609844207764,0,27,2ae47203
27,53.10199789695058,False,,,28,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-11,1649218571,0.6517136096954346,47.5343234539032,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,47.5343234539032,0,28,2ae47203
28,53.10199789695058,False,,,29,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-12,1649218572,0.6559426784515381,48.190266132354736,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,48.190266132354736,0,29,2ae47203
29,53.10199789695058,False,,,30,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-13,1649218573,0.6535429954528809,48.84380912780762,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,48.84380912780762,0,30,2ae47203
30,53.10199789695058,False,,,31,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-13,1649218573,0.6560978889465332,49.49990701675415,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,49.49990701675415,0,31,2ae47203
31,53.10199789695058,False,,,32,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-14,1649218574,0.654949426651001,50.15485644340515,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,50.15485644340515,0,32,2ae47203
32,53.10199789695058,False,,,33,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-15,1649218575,0.6687510013580322,50.823607444763184,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,50.823607444763184,0,33,2ae47203
33,53.10199789695058,False,,,34,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-16,1649218576,0.6769518852233887,51.50055932998657,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,51.50055932998657,0,34,2ae47203
34,53.10199789695058,False,,,35,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-16,1649218576,0.6624560356140137,52.163015365600586,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.163015365600586,0,35,2ae47203
35,53.10199789695058,False,,,36,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-17,1649218577,0.6615452766418457,52.82456064224243,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,52.82456064224243,0,36,2ae47203
36,53.10199789695058,False,,,37,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-18,1649218578,0.6668543815612793,53.49141502380371,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,53.49141502380371,0,37,2ae47203
37,53.10199789695058,False,,,38,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-18,1649218578,0.6726465225219727,54.164061546325684,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.164061546325684,0,38,2ae47203
38,53.10199789695058,False,,,39,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-19,1649218579,0.66477370262146,54.828835248947144,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,54.828835248947144,0,39,2ae47203
39,53.10199789695058,False,,,40,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-20,1649218580,0.6645388603210449,55.49337410926819,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,55.49337410926819,0,40,2ae47203
40,53.10199789695058,False,,,41,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-20,1649218580,0.6700594425201416,56.16343355178833,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.16343355178833,0,41,2ae47203
41,53.10199789695058,False,,,42,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-21,1649218581,0.6682088375091553,56.831642389297485,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,56.831642389297485,0,42,2ae47203
42,53.10199789695058,False,,,43,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-22,1649218582,0.677764892578125,57.50940728187561,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,57.50940728187561,0,43,2ae47203
43,53.10199789695058,False,,,44,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-23,1649218583,0.6786363124847412,58.18804359436035,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,58.18804359436035,0,44,2ae47203
44,53.10199789695058,False,,,45,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-24,1649218584,0.6802949905395508,58.8683385848999,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,58.8683385848999,0,45,2ae47203
45,53.10199789695058,False,,,46,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-24,1649218584,0.694180965423584,59.562519550323486,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,59.562519550323486,0,46,2ae47203
46,53.10199789695058,False,,,47,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-25,1649218585,0.6566097736358643,60.21912932395935,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,60.21912932395935,0,47,2ae47203
47,53.10199789695058,False,,,48,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-26,1649218586,0.667682409286499,60.88681173324585,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,60.88681173324585,0,48,2ae47203
48,53.10199789695058,False,,,49,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-27,1649218587,0.6661407947540283,61.55295252799988,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,61.55295252799988,0,49,2ae47203
49,53.10199789695058,False,,,50,03303b6ef5fc4a73885c935b49c2b1fd,2022-04-06_04-16-27,1649218587,0.6811232566833496,62.23407578468323,94099,nvidia-gpu-cloud-tensorflow-image-8gpus-vm,10.128.0.8,62.23407578468323,0,50,2ae47203
